motion_type,surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,odom_x,odom_y,odom_theta,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
square,linoleum,0.2,-1.5707963267948966,6.799887180328369,0.9028380151207822,0.3631978692618365,0.8977164093727685,0.8005875829729909,-0.42674504601626095,-0.004916630202518719,-0.647,-0.717,0.918,0.921
square,linoleum,0.2,-1.5707963267948966,6.999938249588013,0.8982506478487797,0.40816219580321283,0.9034783747935704,0.8005145507554079,-0.4634438550081407,-0.0049653838106624645,-0.739,-0.909,1.032,0.898
square,linoleum,0.2,-1.5707963267948966,7.200033903121948,0.9000414435750009,0.4493179440885427,1.0664462537824793,0.8000135944346023,-0.5073460485354206,-0.004790058302657425,-0.688,-0.85,0.451,0.945
square,linoleum,0.2,-1.5707963267948966,7.399939060211182,0.8917976850335527,0.4959238238290995,0.9205000732951827,0.7996318507430829,-0.5466132124623534,-0.005219464996221595,-0.791,-0.607,1.071,0.865
square,linoleum,0.2,-1.5707963267948966,7.599998474121094,0.8922650019859442,0.54078004722591,1.0078549150949228,0.7986727839850779,-0.5838864471580243,-0.004916630202518665,-0.713,-0.659,0.914,0.676
square,linoleum,0.2,-1.5707963267948966,7.799952268600464,0.8881688301704219,0.5848385485768125,1.05397496995131,0.7983387498501251,-0.6226658792564618,-0.005136021382070248,-0.659,-0.792,0.84,0.883
square,linoleum,0.2,-1.5707963267948966,7.999931812286377,0.8847128103158701,0.6287524066641846,1.0253320275791682,0.7982883022810877,-0.6657115788238029,-0.0052682185580544705,-0.778,-0.898,1.103,0.927
square,linoleum,0.2,-3.141592653589793,8.199926137924194,0.8878377655231735,0.6735094646590779,0.9914710813319408,0.7983146098402208,-0.7037914840891453,-0.005378851611288383,-0.708,-0.844,0.587,0.963
square,linoleum,0.2,-3.141592653589793,8.399920225143433,0.885303389854083,0.7159329497714849,0.9827010853004473,0.7774176319330824,-0.7246674668897756,-0.004885690409077451,0.577,-0.712,0.719,-0.598
square,linoleum,0.2,-3.141592653589793,8.599937915802002,0.88242969226876,0.7647550865038955,1.02587317820852,0.7421311802240863,-0.7288398986318377,-0.004491910984930767,-0.071,-0.596,0.745,0.095
square,linoleum,0.2,-3.141592653589793,8.799943923950195,0.8720385545669438,0.8024168887447042,0.9976801533671192,0.7027417758684692,-0.7316284417940425,-0.004455345731797691,0.004,-0.671,0.708,0.03
square,linoleum,0.2,-3.141592653589793,8.999930381774902,0.8783429202691957,0.8556398788802917,0.985676781296002,0.6627155660775782,-0.733981911572339,-0.004069066452801877,0.047,-0.484,0.536,-0.124
square,linoleum,0.2,-3.141592653589793,9.199988603591919,0.854346005364025,0.8774986762007213,0.9156870155765877,0.6222432946044186,-0.7362895031112234,-0.0038965532714510635,-0.054,-0.56,0.528,0.02
square,linoleum,0.2,-3.141592653589793,9.399955749511719,0.8171784987118725,0.8779436905726126,0.8580867321427821,0.5787835210754103,-0.7384304830399473,-0.0039021787022165597,0.04,-0.242,0.585,-0.05
square,linoleum,0.2,-3.141592653589793,9.600603103637695,0.7701835984003459,0.8781472987282283,0.8578370453791093,0.5415663856614902,-0.7399149605768598,-0.003782169499479606,0.007,-0.188,0.53,-0.123
square,linoleum,0.2,-3.141592653589793,9.799993515014648,0.7277851230633159,0.8758859304141284,0.8581373106241837,0.4984450424332942,-0.7411894504137843,-0.003619031947658813,-0.02,-0.458,0.538,-0.011
square,linoleum,0.2,-3.141592653589793,10.000258207321167,0.6834419315637622,0.8773353974436406,0.9142881621447939,0.46065470199763586,-0.7423548313078807,-0.003464332504110371,-0.031,-0.441,0.563,-0.051
square,linoleum,0.2,-3.141592653589793,10.199935913085938,0.6387953423636318,0.8746260452899268,1.2418337382893936,0.41902804649206143,-0.7433737029768287,-0.002959918329509747,-0.004,-0.506,0.549,-0.115
square,linoleum,0.2,-3.141592653589793,10.399939775466919,0.5940697733751497,0.8771616958121518,1.1561907629020929,0.37647657937695145,-0.7443566228834888,-0.002585826604088081,0.012,-0.353,0.495,-0.075
square,linoleum,0.2,-3.141592653589793,10.59993577003479,0.5435186955803815,0.8764536709665329,1.1721257507215876,0.3379180384821954,-0.745075404577539,-0.002594264764476804,0.058,-0.238,0.385,-0.104
square,linoleum,0.2,-3.141592653589793,10.800222396850586,0.5015750164680383,0.8699523133108507,1.3342812148444663,0.30002617536853027,-0.7455070415978097,-0.00259238961772765,0.057,-0.31,0.486,-0.046
square,linoleum,0.2,-3.141592653589793,10.999945163726807,0.45784191254525214,0.8679574112118685,1.3345452281754646,0.2597616689100301,-0.7461360085980207,-0.0026336428456800918,0.06,-0.37,0.515,-0.036
square,linoleum,0.2,-3.141592653589793,11.199963569641113,0.4157122995502347,0.863887327366066,1.3484808490648854,0.21652332353612017,-0.7468518559206896,-0.0027377134836394372,0.042,-0.337,0.481,-0.066
square,linoleum,0.2,-3.141592653589793,11.3999342918396,0.36856295769782044,0.8643885642364746,0.8169951017361121,0.17793132745987422,-0.7474712595605357,-0.00275740252233495,0.029,-0.392,0.39,-0.084
square,linoleum,0.2,-3.141592653589793,11.599935054779053,0.3206737247158199,0.8625513564231349,0.7671953989420459,0.13638335244988678,-0.74792559632639,-0.0025830138839484616,0.086,-0.326,0.437,-0.007
square,linoleum,0.2,-3.141592653589793,11.799936294555664,0.279877758767245,0.857242519912343,0.672401301374971,0.09625560250990403,-0.7484667574784252,-0.002390811330505082,0.028,-0.201,0.247,-0.17
square,linoleum,0.2,1.5707963267948966,12.000016212463379,0.2370840639310155,0.8552541687897313,0.6713571151536755,0.056372346964381495,-0.7486087210743944,-0.002333619347764452,0.041,-0.294,0.377,-0.065
square,linoleum,0.2,1.5707963267948966,12.19986867904663,0.19388745048989986,0.8533136972562669,0.7064772200848108,0.03883477973022857,-0.7321335878261496,-0.0015048043404742085,0.868,1.481,-1.585,-0.856
square,linoleum,0.2,1.5707963267948966,12.399912357330322,0.1518634635940086,0.8514018616109895,1.3989639339807196,0.03790783466609289,-0.7040871854607047,-0.0006713017790001196,0.816,0.901,-0.856,-0.981
square,linoleum,0.2,1.5707963267948966,12.599904298782349,0.10026500358180679,0.8503090702869398,0.6722363982871121,0.038240159342582916,-0.6719001178857281,-0.00047534909145337343,0.886,0.563,-0.438,-0.965
square,linoleum,0.2,1.5707963267948966,12.799928665161133,0.056512950680438045,0.8502413353586233,1.585830835673924,0.03820062669856914,-0.6380862089643131,-0.0005109768488178428,0.806,0.864,-0.868,-0.575
square,linoleum,0.2,1.5707963267948966,12.999936819076538,0.02181910997279879,0.8434101852051406,0.7105029443999094,0.038883837954163336,-0.6039594760011088,0.00018845189032345435,0.803,0.873,-0.922,-0.926
square,linoleum,0.2,1.5707963267948966,13.199930191040039,0.0178481456083317,0.8136117698038537,0.6830252254412763,0.03910237522950322,-0.5664812456920735,0.0004697232247260555,1.069,1.007,-1.0,-1.175
square,linoleum,0.2,1.5707963267948966,13.399943113327026,0.01901028856512732,0.7796991102923284,0.6898519181386591,0.038794849775987385,-0.529049404447336,0.0006075461099145098,0.997,0.652,-0.912,-0.932
square,linoleum,0.2,1.5707963267948966,13.60002064704895,0.02573935278657047,0.73952931334934,1.6566620001705188,0.038534429599801606,-0.4941957573481176,0.0013651022537073763,0.823,0.976,-0.687,-0.994
square,linoleum,0.2,1.5707963267948966,13.799899578094482,0.02112545155121237,0.7011409903120832,0.7052239805930882,0.038129012878446764,-0.45317106919806366,0.0020410882564128527,0.626,0.893,-0.958,-1.031
