surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,x,y,theta,odom_x,odom_y,odom_theta,x_loc,y_loc,theta_loc,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
linoleum,0.2,-3.141592653589793,1.40000581741333,0.14175115509969996,-0.26498389218024204,-0.2170987429771511,-0.05057492717104714,-0.003469370409088235,-0.036749873624577406,0.25826981158161655,0.07976653112554345,-0.09899070433454066,-0.2128666315428081,0.04204055932517049,-0.00013528135258313034,0.166,-0.2,0.268,-0.318
linoleum,0.2,-3.141592653589793,1.5999743938446045,0.10225520986941206,-0.2718942694331523,-0.07954784186000853,-0.09007087240133504,-0.010379747661998506,0.10080102749256516,0.215308502292127,0.08822561202916843,-0.09882556754072121,-0.25582794083229765,0.05049964022879547,2.9855441236320557e-05,0.151,-0.137,0.279,-0.311
linoleum,0.2,-3.141592653589793,1.7999868392944336,0.05994237368656354,-0.2753347891307965,-0.2420211826019709,-0.13238370858418355,-0.013820267359642702,-0.061672313249397204,0.18039774846704393,0.09505343041460473,-0.09895151957914146,-0.2907386946573807,0.057327458614231774,-9.609659718393115e-05,0.169,-0.119,0.325,-0.285
linoleum,0.2,-3.141592653589793,1.9999456405639648,0.01906098253435818,-0.2778952117899716,0.08906155598829707,-0.17326509973638893,-0.01638069001881781,0.2694104253408708,0.13973463472790904,0.10309927362993283,-0.09895991632536032,-0.3314018083965156,0.06537330182955987,-0.00010449334340278948,0.106,-0.138,0.326,-0.314
linoleum,0.2,-3.141592653589793,2.1999549865722656,-0.024036196972535954,-0.28323552586054906,-0.22097626274072465,-0.21636227924328305,-0.021721004089395257,-0.04062739338815097,0.10030516704419676,0.11092234147805818,-0.0990541459940018,-0.3708312760802279,0.07319636967768522,-0.00019872301204426623,0.133,-0.088,0.252,-0.295
linoleum,0.2,-3.141592653589793,2.399965524673462,-0.06597912826854362,-0.28626996192674414,0.0766364933153628,-0.25830521053929073,-0.024755440155590336,0.2569853626679365,0.0641584158446298,0.11800873712887594,-0.09911385542335008,-0.4069780272797949,0.08028276532850298,-0.0002584324413925504,0.086,-0.091,0.342,-0.353
linoleum,0.2,-3.141592653589793,2.599958896636963,-0.10682368981506322,-0.2872706497155724,0.15931453890401584,-0.29914977208581034,-0.025756127944418616,0.3396634082565895,0.02318411202697407,0.1262092470855667,-0.09926685920664641,-0.4479523310974506,0.08848327528519373,-0.00041143622468887975,0.072,-0.145,0.122,-0.358
linoleum,0.2,-3.141592653589793,2.8000121116638184,-0.14788154195837885,-0.29152678374451246,-0.1985857379451428,-0.340207624229126,-0.030012261973358656,-0.018236868592569122,-0.021016493733012676,0.13493958153055732,-0.09924820033426533,-0.49215293685743733,0.09721360973018436,-0.00039277735230780486,0.133,-0.14,0.421,-0.149
linoleum,0.2,-3.141592653589793,2.999971866607666,-0.19090626123397783,-0.29189794821293175,-0.2683401429888452,-0.3832323435047249,-0.03038342644177794,-0.08799127363627149,-0.053497345543005094,0.1410850547615446,-0.09862963900142609,-0.5246337886674297,0.10335908296117163,0.000225783980531441,0.164,-0.123,0.28,-0.402
linoleum,0.2,-3.141592653589793,3.1999928951263428,-0.23453328161612116,-0.29753912899962015,-0.25961849221652866,-0.4268593638868683,-0.03602460722846634,-0.07926962286395497,-0.09354840280283155,0.14886941081655314,-0.09835999776165835,-0.5646848459272562,0.11114343901618018,0.0004954252202991755,0.107,-0.065,0.333,-0.413
linoleum,0.2,-3.141592653589793,3.399982452392578,-0.27698165464255375,-0.30107858915488805,-0.1960604438972429,-0.46930773691330085,-0.03956406738373425,-0.015711574544669205,-0.13253056165059607,0.156468927568667,-0.09819671668267056,-0.6036670047750208,0.11874295576829405,0.0006587062992869652,0.087,-0.156,0.375,-0.306
linoleum,0.2,-3.141592653589793,3.5999579429626465,-0.31635227494973966,-0.30134141453984364,-0.273559018474584,-0.5086783572204867,-0.03982689276868984,-0.09321014912201034,-0.17481165305997023,0.16462431028846392,-0.098152863599518,-0.6459480961843949,0.12689833848809096,0.0007025593824395299,0.111,-0.129,0.295,-0.307
linoleum,0.2,-3.141592653589793,4.278952360153198,-0.31635227494973966,-0.30134141453984364,-0.273559018474584,-0.5086783572204867,-0.03982689276868984,-0.09321014912201034,-0.20067235812173098,0.16964874712894532,-0.09804183047315296,-0.6718088012461556,0.13192277532857236,0.0008135925088045698,0.094,-0.082,0.283,-0.344
linoleum,0.2,0.08726646259971647,0.20014429092407227,-0.57407863678828,-0.31739017046302104,0.3229916748358285,0.0003999794896356601,-0.000973423551193564,0.6511149307299763,-0.24300593084047548,0.17792121968552901,-0.09852514221661461,5.663494830332461e-07,-8.494815263715427e-07,-9.330119023209793e-07,-0.027,0.04,0.081,-0.154
linoleum,0.2,0.08726646259971647,0.4003586769104004,-0.57407863678828,-0.31739017046302104,0.3229916748358285,0.0003999794896356601,-0.000973423551193564,0.6511149307299763,-0.22485881834287297,0.17492332702749278,-0.0988022429153576,0.01814767884708554,-0.00299874213956261,-0.00027803371064530347,-0.266,0.797,-0.689,0.229
linoleum,0.2,0.08726646259971647,0.5998928546905518,-0.570162863885824,-0.31461723546301373,-0.3629570511017325,0.0043157523920915875,0.0017995114488137398,-0.03483379520758473,-0.18776489249909206,0.1686725740988594,-0.09905321303133774,0.05524160469086645,-0.009249495068195973,-0.0005290038266254488,-0.049,0.63,-0.327,-0.001
linoleum,0.2,0.08726646259971647,0.8001670837402344,-0.5714233226982693,-0.3150041770661394,0.32017332270933047,0.00305529357964629,0.0014125698456880498,0.6482965786034782,-0.15484515001848995,0.16335149909053184,-0.0988535570194868,0.08816134717146856,-0.014570570076523542,-0.0003293478147745055,-0.073,0.616,-0.373,-0.084
linoleum,0.2,0.08726646259971647,1.0001678466796875,-0.570162863885824,-0.31461723546301373,-0.3629570511017325,0.0043157523920915875,0.0017995114488137398,-0.03483379520758473,-0.1083416985308608,0.15572454122783005,-0.09866602601947977,0.1346647986590977,-0.02219752793922533,-0.00014181681476747865,0.054,0.622,-0.404,-0.122
linoleum,0.2,0.08726646259971647,1.1999082565307617,-0.5700496296836384,-0.3141659309710934,0.31616208535274987,0.004428986594277262,0.0022508159407340633,0.6442853412468976,-0.07163502624910362,0.14987113269578298,-0.09897204494634766,0.1713714709408549,-0.02805093647127241,-0.00044783574163537176,0.063,0.603,-0.379,-0.124
linoleum,0.2,0.08726646259971647,1.3999121189117432,-0.5383643291872651,-0.3129689655662315,0.3449674705515802,0.036114287090650565,0.0034477813455959794,0.673090726445728,-0.03005411568959645,0.1432934605072073,-0.09922767553433985,0.21295238150036205,-0.0346286086598481,-0.0007034663296275612,0.05,0.521,-0.461,-0.062
