surface,motion_type,angle_deg,target_angle,I_total,I_total_avg,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
cell_carpet,figure_eight,-178,-3.099931203150989,4.951779563719863,4.951779563719863,rubber_carpet,0.0025399758649986785,0.4591060355323255,0.4741262117910646,0.06422777681161114,rubber_carpet,0.0025399758649986785,0.4591060355323255,0.4741262117910646,0.06422777681161114
cell_carpet,figure_eight,-178,-3.106843433684112,5.468427095292767,5.210103329506315,rubber_carpet,0.0028573717211101773,0.44532214372197226,0.5162187688811791,0.035601715675738235,rubber_carpet,0.0026986737930544285,0.452214089627149,0.495172490336122,0.0499147462436747
cell_carpet,figure_eight,-178,-3.099631756650153,4.376578645235361,4.932261768082664,rubber_carpet,0.0025175114870725026,0.4596716687555805,0.470806291063483,0.06700452869386406,rubber_carpet,0.002608092640063465,0.45594287919136467,0.4829893906998024,0.058459637468769365
cell_carpet,figure_eight,-178,-3.1070264103117595,5.537313432835822,5.083524684270953,rubber_carpet,0.0026967879105010153,0.45346540085867315,0.49600623334510474,0.04783157788572124,rubber_carpet,0.0026524402752822404,0.4547041400250189,0.48949781202245357,0.0531456076772453
cell_carpet,circle,-177,-3.082847897206442,5.119402985074627,5.119402985074627,rubber_carpet,0.002716827490913334,0.45276054319113745,0.4991547714275582,0.045367857890390974,rubber_carpet,0.002716827490913334,0.45276054319113745,0.4991547714275582,0.045367857890390974
cell_carpet,circle,-177,-3.0827885309802454,4.607347876004592,4.86337543053961,grass,0.0024195483999685393,0.46180075177513663,0.4560764986448289,0.07970320118006599,rubber_carpet,0.0025681879454409373,0.45728064748313707,0.4776156350361936,0.06253552953522849
cell_carpet,circle,-175,-3.058400956792287,4.68886337543054,4.68886337543054,grass,0.0021891631792103675,0.4608952238889155,0.41697066196031,0.11994495097156412,grass,0.0021891631792103675,0.4608952238889155,0.41697066196031,0.11994495097156412
cell_carpet,circle,-175,-3.058354465169362,4.237657864523536,4.463260619977038,grass,0.001975467771216886,0.44795544333313053,0.3743219514269805,0.17574713746867227,grass,0.0020823154752136266,0.454425333611023,0.39564630669364526,0.14784604422011818
cell_carpet,figure_eight,-168,-2.9304800367313724,5.846153846153846,5.846153846153846,rubber_carpet,0.003194241604267137,0.41793198020528577,0.5651168703924151,0.01375690779803202,rubber_carpet,0.003194241604267137,0.41793198020528577,0.5651168703924151,0.01375690779803202
cell_carpet,figure_eight,-168,-2.93057026443737,5.625717566016074,5.73593570608496,rubber_carpet,0.0030435156029513253,0.4304386160699197,0.5486973068974574,0.01782056142967148,rubber_carpet,0.0031188786036092314,0.42418529813760275,0.5569070886449363,0.01578873461385175
cell_carpet,figure_eight,-167,-2.922551175432855,4.461538461538462,4.461538461538462,grass,0.0017648601970320507,0.43094737518503407,0.31733939283980434,0.2499483717781295,grass,0.0017648601970320507,0.43094737518503407,0.31733939283980434,0.2499483717781295
cell_carpet,figure_eight,-167,-2.9224987266574285,4.063145809414467,4.262342135476464,grass,0.0016908018511473943,0.40343378143259545,0.28097579950028523,0.313899617215972,grass,0.0017278310240897224,0.4171905783088148,0.2991575961700448,0.28192399449705074
