surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
grass,straight,-180.0,0.6526980482204363,-0.8834098737083811,1.1281859931113662,-0.6420206659012628,0,-3.141592653589793,0.4125605718095195,0.435790801362069,0.3782468651805218,0.4789449272516796,3.3063145809414465,0.978963362393724,cell_carpet,0.05251836921025271,0.34127618872808063,0.2474247301638001,0.35878071189786664,cell_carpet,0.05251836921025271,0.34127618872808063,0.2474247301638001,0.35878071189786664
grass,straight,-180.0,0.8150456508665465,-0.8201847903340441,0.7771581652178667,-0.8889071127877098,1,-3.141592653589793,0.4111723397733581,0.4128467903326961,0.4401969182970066,0.5181828068708587,3.301295719206168,0.95354032706162,cell_carpet,0.05318301693774458,0.3408499536110701,0.24686765110614112,0.3590993783450443,cell_carpet,0.052850693073998645,0.34106307116957535,0.24714619063497062,0.3589400451214555
grass,straight,-180.0,0.7657864523536165,-0.760849598163031,0.7842709529276694,-0.972675086107922,2,-3.141592653589793,0.418987608194698,0.355830495799523,0.4927980225904571,0.521099463234506,3.283582089552239,0.951854977007062,cell_carpet,0.05558211588592725,0.3393287018731739,0.24490314374678043,0.3601860384941185,cell_carpet,0.05421640447996295,0.3401958865213746,0.2460246671908755,0.359563041807787
grass,straight,-180.0,0.9555683122847304,-0.7306544202066589,0.9974167623421356,-0.6943742824339839,3,-3.141592653589793,0.3504676071038365,0.342760139153287,0.3346517487511657,0.4487100639850819,3.3780137772675087,0.9754106896476616,cell_carpet,0.0437295892069665,0.34713605297313765,0.25540844069572805,0.35372591712416773,cell_carpet,0.04897299684346472,0.34366596974725616,0.2507165539433018,0.3566444794659773
grass,straight,-180.0,0.8145809414466131,-0.7303099885189438,0.689667049368542,-0.8701492537313433,4,-3.141592653589793,0.3450560337219403,0.3349163821833893,0.346817146790302,0.4244358602824214,3.104707233065442,0.8995148694392321,cell_carpet,0.08468764146866675,0.32249382069124966,0.22518705352521293,0.3676314843148707,cell_carpet,0.06683031915606574,0.3330798952192529,0.23795180373425734,0.362137981890424
grass,straight,-180.0,0.7535198501420026,-0.9212641247205268,0.7500151066529699,-0.856607650009064,5,-3.141592653589793,0.3330170593766135,0.3368401195822972,0.3924442764326295,0.4273316546044299,3.281406731524563,0.9476293061984028,cell_carpet,0.055882508693502586,0.33914006447825285,0.2446620612350173,0.36031536559322724,cell_carpet,0.061356413924784164,0.3361099798487529,0.2413069324846373,0.3612266737418256
grass,square,-180.0,1.5638292056202503,0.1163413700727133,0.242742332294571,-1.935104696298726,6,-3.141592653589793,0.5192516212740703,0.677567871736666,0.727092090412527,0.524710098805781,3.858017604286261,1.4448314739489971,grass,0.011560864204354614,0.37617163377568746,0.3111721985236218,0.301095303496336,grass,0.0364586390645694,0.3561408068122202,0.2762395655041296,0.3311609886190809
grass,square,-180.0,1.6364130763188107,0.0607891715511511,0.0803673938002296,-2.0893709589703304,7,-3.141592653589793,0.4818595120641335,0.6419332555606495,0.8044069334245113,0.5992857525368545,3.866940600640522,1.530704411540907,grass,0.011277950052164313,0.3765589840695461,0.31226686347350774,0.2998962024047819,grass,0.023868294558366858,0.36634989544088314,0.2942532144888187,0.31552859551193135
grass,square,-180.0,1.5667049368541903,0.0632606199770378,0.1191159586681974,-2.0385189437428246,8,-3.141592653589793,0.4577653755804886,0.6233054317236639,0.7736903022931502,0.7054765972271411,3.7876004592422494,1.4840677044971071,grass,0.01408776198854854,0.37293239269588535,0.30262568655451744,0.31035415876104866,grass,0.0189780282734577,0.3696411440683842,0.2984394505216681,0.31294137713649
grass,square,-180.0,-0.0873134328358209,-1.5238805970149254,1.9590126291618828,0.0334098737083811,9,-3.141592653589793,0.663061352720042,0.5317717141513749,0.5955503517487349,0.7635595150254694,3.60361653272101,1.4297259204976904,grass,0.023714325053471638,0.3628804385510103,0.2809767038278747,0.33242853256764315,grass,0.02134617666346467,0.3662607913096973,0.2897080771747715,0.32268495485206666
