surface,motion_type,angle_deg,target_angle,I_total,I_total_avg,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
cell_carpet,straight,-180,-3.141592653589793,1.5970149253731345,1.5970149253731345,linoleum,0.6595202274937677,0.1040219571574644,0.06973459387256073,0.1667232214762071,linoleum,0.6595202274937677,0.1040219571574644,0.06973459387256073,0.1667232214762071
cell_carpet,straight,-180,-3.141592653589793,4.588978185993112,3.092996555683123,cell_carpet,0.03491850743138862,0.2820124954538611,0.18018706723300223,0.5028819298817481,linoleum,0.34721936746257814,0.19301722630566276,0.12496083055278148,0.3348025756789776
cell_carpet,straight,-180,-3.141592653589793,2.1423650975889785,2.776119402985074,cell_carpet,0.11472798430607996,0.24057002425018964,0.15022783990062402,0.4944741515431063,cell_carpet,0.23097367588432904,0.2167936252779262,0.13759433522670275,0.41463836361104195
cell_carpet,straight,-180,-3.141592653589793,1.677382319173364,2.5014351320321477,cell_carpet,0.24634144400351596,0.19910936384600136,0.12365974456207533,0.4308894475884073,cell_carpet,0.23865755994392251,0.20795149456196377,0.13062703989438904,0.42276390559972465
cell_carpet,straight,-180,-3.141592653589793,1.9885189437428243,2.3988518943742827,cell_carpet,0.3062544746449816,0.1830120523033536,0.11382017968260655,0.3969132933690582,cell_carpet,0.2724560172944521,0.1954817734326587,0.1222236097884978,0.40983859948439144
cell_carpet,straight,-180,-3.141592653589793,1.7003444316877154,2.2824339839265213,linoleum,0.3759991770118742,0.1653361912760828,0.10322205553178711,0.35544257618025604,cell_carpet,0.3242275971531631,0.18040898235437072,0.11272283266014244,0.38264058783232363
cell_carpet,straight,-180,-3.141592653589793,1.8541905855338687,2.221256355584714,linoleum,0.411951346311873,0.15656797524627664,0.09803933488476906,0.33344134355708144,linoleum,0.36808947173251805,0.1684884788003237,0.10538108377245575,0.35804096569470256
cell_carpet,straight,-180,-3.141592653589793,1.6819747416762345,2.153846153846154,linoleum,0.4501164675566233,0.14748468854741356,0.09272615242698944,0.30967269146897375,linoleum,0.4091029696445707,0.15798658367386864,0.0990536180997226,0.3338568285818382
cell_carpet,straight,-180,-3.141592653589793,1.5832376578645233,2.090445209848195,linoleum,0.4840869399137692,0.1395911066963885,0.08816277096928342,0.2881591824205588,linoleum,0.44659495477917,0.14878884518512858,0.093608194534503,0.3110080055011985
cell_carpet,straight,-180,-3.141592653589793,1.8668197474167625,2.1204235234085984,linoleum,0.4682860530138976,0.14323988762893322,0.09026521484807465,0.2982088445090946,linoleum,0.4574405038965338,0.14601436640703092,0.09193670469128883,0.3046084250051465
cell_carpet,straight,-180,-3.141592653589793,1.772675086107922,1.807500956754688,linoleum,0.605036347696029,0.11340182607017794,0.07372474452415351,0.2078370817096395,linoleum,0.5312384257962814,0.12970809623860444,0.08283072460772117,0.256222753357393
cell_carpet,straight,-180,-3.141592653589793,1.878300803673938,1.778160479653017,linoleum,0.6144322266562195,0.11157753942552237,0.07281563228568987,0.2011746016325682,linoleum,0.5728353262262504,0.1206428178320634,0.07782317844670553,0.22869867749498057
cell_carpet,straight,-180,-3.141592653589793,1.618828932261768,1.7716545477739507,linoleum,0.6164349378781601,0.11119584884144242,0.07262936564925922,0.19973984763113825,linoleum,0.5946351320522052,0.11591933333675292,0.07522627204798238,0.2142192625630594
cell_carpet,straight,-180,-3.141592653589793,1.848450057405281,1.7560913381808905,linoleum,0.6211074386866723,0.11031633706522688,0.07220640411830184,0.19636982012979895,linoleum,0.6078712853694388,0.11311783520098989,0.07371633808314211,0.20529454134642916
cell_carpet,straight,-180,-3.141592653589793,1.851894374282434,1.7729302206914146,linoleum,0.6160445514634851,0.1112700379333249,0.07266544952399645,0.20001996107919345,linoleum,0.6119579184164621,0.11219393656715741,0.07319089380356929,0.20265725121281133
cell_carpet,straight,-180,-3.141592653589793,1.5304247990815154,1.7369562444189308,linoleum,0.6266246771080319,0.10929972241878598,0.07173018415923134,0.19234541631395063,linoleum,0.6192912977622471,0.11074682949297171,0.07246053898140033,0.197501333763381
cell_carpet,straight,-180,-3.141592653589793,1.5384615384615383,1.7210103329506314,linoleum,0.6310317586178983,0.10850698547536838,0.07137035292275337,0.18909090298397987,linoleum,0.6251615281900726,0.10962690748417005,0.07191544595207686,0.19329611837368044
cell_carpet,straight,-180,-3.141592653589793,3.7278989667049367,1.9593060339329,linoleum,0.5468420593579083,0.1255384345299397,0.08021652070746121,0.24740298540469086,linoleum,0.5860017937739905,0.11758267100705488,0.07606598332976904,0.22034955188918565
cell_carpet,straight,-180,-3.141592653589793,1.965556831228473,1.9702768210230897,linoleum,0.5420194943679238,0.12658987234634722,0.08080014811499137,0.25059048517073756,linoleum,0.5640106440709571,0.12208627167670105,0.07843306572238021,0.2354700185299616
cell_carpet,straight,-180,-3.141592653589793,1.750861079219288,1.967853042479908,linoleum,0.5430919427086636,0.126355580443171,0.08066990198207608,0.24988257486608934,linoleum,0.5535512933898104,0.12422092605993602,0.07955148385222814,0.24267629669802548
cell_carpet,straight,-180,-3.141592653589793,1.657864523536165,1.9433601224646,linoleum,0.5537058253776522,0.1240516929089105,0.07939535999045394,0.24284712172298337,linoleum,0.5536285593837313,0.12413630948442325,0.07947342192134105,0.24276170921050444
cell_carpet,straight,-180,-3.141592653589793,1.6877152698048217,1.9510141599693835,linoleum,0.5504328601698284,0.12475917698115632,0.0797854943282745,0.24502246852074078,linoleum,0.5520307097767798,0.12444774323278979,0.07962945812480778,0.2438920888656226
cell_carpet,straight,-180,-3.141592653589793,1.6750861079219288,1.931751498915678,linoleum,0.5585931824013043,0.12300041141690289,0.07881787848552892,0.23958852769626393,linoleum,0.5553119460890421,0.12372407732484633,0.07922366830516835,0.24174030828094328
cell_carpet,straight,-180,-3.141592653589793,1.8369690011481057,1.930093124122975,linoleum,0.5592838094673037,0.12285237106138006,0.0787367838877382,0.23912703558357817,linoleum,0.5572978777781729,0.12328822419311317,0.07898022609645326,0.24043367193226067
cell_carpet,straight,-180,-3.141592653589793,1.6257175660160734,1.940681209337925,linoleum,0.5548418904260168,0.12380676191153132,0.07926057167271876,0.2420907759897331,linoleum,0.5560698841020948,0.12354749305232224,0.07912039888458601,0.2412622239609969
cell_carpet,straight,-180,-3.141592653589793,1.870264064293915,1.977548156652634,linoleum,0.5387784418518827,0.12729952849817738,0.08119531589203474,0.25272671375790506,linoleum,0.5474241629769888,0.12542351077524985,0.0801578573883104,0.246994468859451
cell_carpet,straight,-180,-3.141592653589793,1.7462686567164178,1.757367011098354,linoleum,0.6207307104235374,0.11038664920442921,0.07223987163309006,0.19664276873894326,linoleum,0.5840774367002631,0.11790507998983954,0.07619886451070024,0.22181861879919712
cell_carpet,straight,-180,-3.141592653589793,1.6888633754305398,1.726623293787473,linoleum,0.6295001542794537,0.1087803911957987,0.071493168718664,0.19022628580608364,linoleum,0.6067887954898584,0.11334273559281913,0.07384601661468213,0.20602245230264038
cell_carpet,straight,-180,-3.141592653589793,1.811710677382319,1.733384360250032,linoleum,0.6276268805735808,0.10911785186934146,0.07164665318946695,0.19160861436761067,linoleum,0.6172078380317196,0.11123029373108029,0.07274633490207454,0.19881553333512553
cell_carpet,straight,-180,-3.141592653589793,1.611940298507463,1.728281668580176,linoleum,0.6290435460757632,0.10886234188692441,0.07153025501435699,0.1905638570229554,linoleum,0.6231256920537415,0.11004631780900236,0.07213829495821578,0.19468969517904047
