surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
linoleum,straight,-180.0,0.0735265977803291,-0.3238231917336394,0.3341083046306927,-0.0327018752391886,0,-3.141592653589793,0.1026752886231003,0.1003593887295595,0.104065873802098,0.1301819436812097,0.76415996938385,0.2722207058824616,linoleum,0.49804321249332556,0.16292111013378333,0.11167048143963726,0.22736519593325402,linoleum,0.49804321249332556,0.16292111013378333,0.11167048143963726,0.22736519593325402
linoleum,straight,-180.0,0.1542135476463834,-0.1741446613088404,0.305752009184845,-0.2566934557979334,1,-3.141592653589793,0.1357469337451763,0.1098541080790501,0.1130636688464956,0.1438865581608908,0.8908036739380023,0.2666282685524822,linoleum,0.5087434043735714,0.15836725687617836,0.10654344178645725,0.22634589696379312,linoleum,0.5033933084334484,0.16064418350498083,0.10910696161304725,0.22685554644852357
linoleum,straight,-180.0,0.1941869599371563,-0.1326847543658227,0.316514593026769,-0.3048522569339537,2,-3.141592653589793,0.0371949252076496,0.0323605847371111,0.018213122125927,0.032834144683318,0.9482385642637016,0.2869912560039351,linoleum,0.5119583303766814,0.15690169653133948,0.10474563284272337,0.2263943402492557,linoleum,0.5076758194050649,0.15877294001816017,0.10692629722788531,0.22662494334888963
linoleum,straight,-180.0,0.1156027554535017,-0.2990585533869117,0.3696326061997704,-0.1245694603903559,9,-3.141592653589793,0.1304234687318053,0.1236960777851945,0.1191460320359208,0.1192702167441778,0.9088633754305396,0.290973631750493,linoleum,0.509864202221732,0.15786637424367775,0.1059436861084387,0.22632573742615153,linoleum,0.5087700108133985,0.15831965713091894,0.106434991668162,0.2264753403875206
linoleum,straight,-180.0,0.191630309988519,-0.1982204362801378,0.2968082663605052,-0.2350172215843858,10,-3.141592653589793,0.1276209184856161,0.1077566672823814,0.1058732659192636,0.1149373280474816,0.9216762342135478,0.2699258991749241,linoleum,0.510598213136331,0.15753332074787119,0.1055374398617839,0.22633102625401397,linoleum,0.5096841119748647,0.15792648893939507,0.10598621576497295,0.22640318332076728
linoleum,straight,-180.0,0.284179104477612,-0.2190126291618829,0.2871182548794489,-0.264971297359357,11,-3.141592653589793,0.0466645506135974,0.0342728765047723,0.030889074975026,0.0387474283833935,1.055281285878301,0.305213076923333,linoleum,0.5152358004373918,0.15515573083240466,0.10222594303021915,0.22738252569998432,linoleum,0.5124599562061283,0.15654110988589987,0.10410607939759606,0.2268928545103758
linoleum,straight,-180.0,0.2161538461538461,-0.1688633754305396,0.2281285878300804,-0.2473363949483352,12,-3.141592653589793,0.113401108024043,0.096096441594503,0.10594972466183,0.1193785626724509,0.8604822043628015,0.2505048972385523,linoleum,0.5066345657829575,0.1592911936308138,0.10762270755174648,0.22645153303448232,linoleum,0.5095472609945428,0.15791615175835683,0.10586439347467128,0.22667219377242906
linoleum,square,-180.0,0.523593570608496,0.1799311136624569,-0.0442824339839265,-0.6818140068886338,3,-3.141592653589793,0.1680144118407065,0.239665680828518,0.2496206402182312,0.1583161537784102,1.4296211251435134,0.5076840670293618,linoleum,0.49910305178908726,0.1589951379918371,0.10131395454275752,0.2405878556763182,linoleum,0.5043251563918151,0.15845564487509695,0.1035891740087144,0.23363002472437364
linoleum,square,-180.0,-0.0975406368964891,-0.532998972747598,0.6798477249380626,0.0871835156202791,4,-3.141592653589793,0.2516195951607776,0.1929288721205226,0.1848273489835333,0.3000949969867065,1.3975708502024289,0.5029043924936197,linoleum,0.5021582185900615,0.1580629853875616,0.10093082365685037,0.23884797236552652,linoleum,0.5032416874909382,0.1582593151313293,0.10225999883278239,0.23623899854495006
linoleum,square,-180.0,-0.1037887485648679,-0.5569230769230767,0.7088518943742823,0.1237083811710676,5,-3.141592653589793,0.255899401786583,0.1652815212716031,0.1722754137914025,0.2671514390947487,1.4932721010332946,0.5264115048202374,linoleum,0.4921098621329626,0.16118273458260854,0.10232596336182216,0.24438143992260675,linoleum,0.4976757748119503,0.1597210248569689,0.10229298109730225,0.24031021923377835
