surface,angle_deg,target_angle,I_total_mean,I_total_std,cls_raw,linoleum_raw,grass_raw,rubber_carpet_raw,cell_carpet_raw,cls_memory,linoleum_memory,grass_memory,rubber_carpet_memory,cell_carpet_memory
cell_carpet,-180,-3.141592653589793,1.7720190257503692,0.4930753989672776,linoleum,0.8611588497094933,0.019859203416761877,0.015587605305475576,0.10339434156826934,linoleum,0.8611588497094933,0.019859203416761877,0.015587605305475576,0.10339434156826934
cell_carpet,-175,-3.0543261909900767,1.9312667432070416,0.3829697220255892,linoleum,0.8090541659109945,0.025458111108910757,0.017348208542962942,0.14813951443713175,linoleum,0.8090541659109945,0.025458111108910757,0.017348208542962942,0.14813951443713175
cell_carpet,-170,-2.9670597283903604,2.379951205510907,0.507836673392272,cell_carpet,0.4628642564560555,0.02290786306506002,0.009019537019170323,0.5052083434597141,cell_carpet,0.4628642564560555,0.02290786306506002,0.009019537019170323,0.5052083434597141
cell_carpet,-165,-2.8797932657906435,2.969307309605817,0.691959918354304,cell_carpet,0.04982843549639885,0.09024970792667461,0.017719064251422733,0.8422027923255038,cell_carpet,0.04982843549639885,0.09024970792667461,0.017719064251422733,0.8422027923255038
cell_carpet,-160,-2.792526803190927,3.434519709146575,0.829748512673026,cell_carpet,0.1598562699197644,0.1800576820570254,0.10018258164865887,0.5599034663745512,cell_carpet,0.1598562699197644,0.1800576820570254,0.10018258164865887,0.5599034663745512
cell_carpet,-155,-2.705260340591211,3.885112897053196,0.818959290730844,cell_carpet,0.09853953096249062,0.20020308533103695,0.09342180760570405,0.6078355761007683,cell_carpet,0.09853953096249062,0.20020308533103695,0.09342180760570405,0.6078355761007683
cell_carpet,-150,-2.6179938779914944,4.462614810562572,0.9881999268099808,cell_carpet,0.0013900978919507382,0.30283752796511476,0.12121262068222552,0.574559753460709,cell_carpet,0.0013900978919507382,0.30283752796511476,0.12121262068222552,0.574559753460709
cell_carpet,-145,-2.530727415391778,4.69345579793341,0.8691097024558438,cell_carpet,0.0014827539557920961,0.2575730425056667,0.09375630459153168,0.6471878989470095,cell_carpet,0.0014827539557920961,0.2575730425056667,0.09375630459153168,0.6471878989470095
cell_carpet,-140,-2.443460952792061,4.809261385380789,0.6939449371060228,cell_carpet,0.024970377931309913,0.194311551350552,0.06235844470995221,0.7183596260081859,cell_carpet,0.024970377931309913,0.194311551350552,0.06235844470995221,0.7183596260081859
cell_carpet,-135,-2.356194490192345,5.0421928817451205,0.6856778623183746,cell_carpet,0.025580837929259817,0.17822512862338144,0.04357268744595889,0.7526213460013998,cell_carpet,0.025580837929259817,0.17822512862338144,0.04357268744595889,0.7526213460013998
cell_carpet,-130,-2.2689280275926285,5.362873134328359,0.712182726888965,cell_carpet,0.002604820856139495,0.1616271555766975,0.0328837093147869,0.8028843142523762,cell_carpet,0.002604820856139495,0.1616271555766975,0.0328837093147869,0.8028843142523762
cell_carpet,-125,-2.181661564992912,6.014159969383851,1.0343767839156377,cell_carpet,0.0016712454409569639,0.1619911212540167,0.028050622443214882,0.8082870108618115,cell_carpet,0.0016712454409569639,0.1619911212540167,0.028050622443214882,0.8082870108618115
cell_carpet,-120,-2.094395102393196,6.5171202809482,1.0182171904612105,cell_carpet,0.0018396669416938694,0.19432893969365428,0.06789670038007814,0.7359346929845737,cell_carpet,0.0018396669416938694,0.19432893969365428,0.06789670038007814,0.7359346929845737
cell_carpet,-115,-2.007128639793479,6.82334481438959,1.4996141173685482,cell_carpet,0.0018781485678497649,0.18669378559329203,0.05993600562304597,0.7514920602158123,cell_carpet,0.0018781485678497649,0.18669378559329203,0.05993600562304597,0.7514920602158123
cell_carpet,-110,-1.9198621771937625,6.678028128587831,1.4805949238777674,cell_carpet,0.0016385578232744312,0.07011608003332287,0.02336739207054714,0.9048779700728556,cell_carpet,0.0016385578232744312,0.07011608003332287,0.02336739207054714,0.9048779700728556
cell_carpet,-105,-1.832595714594046,6.702755453501723,1.2124859657255629,cell_carpet,0.001968039638954076,0.06071315555699822,0.021252997146379023,0.9160658076576688,cell_carpet,0.001968039638954076,0.06071315555699822,0.021252997146379023,0.9160658076576688
cell_carpet,-100,-1.7453292519943295,6.675294854399332,1.4222106541495416,cell_carpet,0.0038221239211846817,0.1423069245496158,0.01803766361244943,0.83583328791675,cell_carpet,0.0038221239211846817,0.1423069245496158,0.01803766361244943,0.83583328791675
cell_carpet,-95,-1.6580627893946132,6.137645107794361,2.1188764022461903,cell_carpet,0.051212103833435337,0.205916381521964,0.022578125394111765,0.7202933892504889,cell_carpet,0.051212103833435337,0.205916381521964,0.022578125394111765,0.7202933892504889
cell_carpet,-90,-1.5707963267948966,7.073478760045925,0.8839712498501124,cell_carpet,0.0018737336639602037,0.13739312076066315,0.01237977395291362,0.848353371622463,cell_carpet,0.0018737336639602037,0.13739312076066315,0.01237977395291362,0.848353371622463
cell_carpet,-85,-1.4835298641951802,6.975315729047073,0.7473502813459543,cell_carpet,0.0018960867414562468,0.13921597919592305,0.012964044917657423,0.8459238891449634,cell_carpet,0.0018960867414562468,0.13921597919592305,0.012964044917657423,0.8459238891449634
cell_carpet,-80,-1.3962634015954636,7.058553386911597,0.728692429359393,cell_carpet,0.0020527716415474125,0.1321775146292089,0.021647828747160352,0.8441218849820833,cell_carpet,0.0020527716415474125,0.1321775146292089,0.021647828747160352,0.8441218849820833
cell_carpet,-75,-1.3089969389957472,6.868643209292902,1.3337150161986329,cell_carpet,0.0022676077694466774,0.13606863347112866,0.024887010820665884,0.8367767479387588,cell_carpet,0.0022676077694466774,0.13606863347112866,0.024887010820665884,0.8367767479387588
cell_carpet,-70,-1.2217304763960306,6.751779563719862,1.1992416629327904,cell_carpet,0.002123421953522221,0.19707867472582008,0.03501685659248361,0.765781046728174,cell_carpet,0.002123421953522221,0.19707867472582008,0.03501685659248361,0.765781046728174
cell_carpet,-65,-1.1344640137963142,6.451435132032147,1.2059945139300634,cell_carpet,0.002069407122684382,0.2085481575283097,0.04332727447000482,0.746055160879001,cell_carpet,0.002069407122684382,0.2085481575283097,0.04332727447000482,0.746055160879001
cell_carpet,-60,-1.0471975511965976,6.477994642173746,0.9304215149960264,cell_carpet,0.0020567899158565567,0.21132155249403,0.07308718025240041,0.7135344773377129,cell_carpet,0.0020567899158565567,0.21132155249403,0.07308718025240041,0.7135344773377129
cell_carpet,-55,-0.9599310885968813,5.845847684653654,0.9857854338124198,cell_carpet,0.004293667023187492,0.19005992211872558,0.071745032617452,0.7339013782406348,cell_carpet,0.004293667023187492,0.19005992211872558,0.071745032617452,0.7339013782406348
cell_carpet,-50,-0.8726646259971648,5.6279372368924605,0.7932295948699846,cell_carpet,0.0016607209683162448,0.2539130255411816,0.09165609101875098,0.6527701624717511,cell_carpet,0.0016607209683162448,0.2539130255411816,0.09165609101875098,0.6527701624717511
cell_carpet,-45,-0.7853981633974483,5.167121125143513,0.603861645087552,cell_carpet,0.0016831150819742449,0.2596294185797755,0.10344391887095346,0.6352435474672967,cell_carpet,0.0016831150819742449,0.2596294185797755,0.10344391887095346,0.6352435474672967
cell_carpet,-40,-0.6981317007977318,4.900330080367394,0.6763111028522082,cell_carpet,0.0014059228775789943,0.260998585400823,0.10687600665339687,0.630719485068201,cell_carpet,0.0014059228775789943,0.260998585400823,0.10687600665339687,0.630719485068201
cell_carpet,-35,-0.6108652381980153,4.783438576349024,0.702990724816395,cell_carpet,0.0014753048985461728,0.3134432726033236,0.1566793801377547,0.5284020423603756,cell_carpet,0.0014753048985461728,0.3134432726033236,0.1566793801377547,0.5284020423603756
cell_carpet,-30,-0.5235987755982988,4.429176234213547,0.9034135935744284,cell_carpet,0.0012133389992744332,0.40845746670057553,0.14767616391934216,0.44265303038080783,cell_carpet,0.0012133389992744332,0.40845746670057553,0.14767616391934216,0.44265303038080783
cell_carpet,-25,-0.4363323129985824,3.938361079219289,0.8117636388604854,cell_carpet,0.0011363403443300157,0.36591021045405403,0.1420844021262294,0.4908690470753866,cell_carpet,0.0011363403443300157,0.36591021045405403,0.1420844021262294,0.4908690470753866
cell_carpet,-20,-0.3490658503988659,3.50091173093807,0.7692108232829113,cell_carpet,0.001134504793450882,0.38466158071278816,0.14960972024370806,0.464594194250053,cell_carpet,0.001134504793450882,0.38466158071278816,0.14960972024370806,0.464594194250053
cell_carpet,-15,-0.2617993877991494,2.8808266360505166,0.7612273269068481,cell_carpet,0.010056308728241772,0.2682662548163676,0.1578730149269915,0.5638044215283992,cell_carpet,0.010056308728241772,0.2682662548163676,0.1578730149269915,0.5638044215283992
cell_carpet,-10,-0.1745329251994329,2.8563337160352087,1.5847754217657803,cell_carpet,0.0030263400431491576,0.3677261408079182,0.14716625393266963,0.48208126521626304,cell_carpet,0.0030263400431491576,0.3677261408079182,0.14716625393266963,0.48208126521626304
cell_carpet,-5,-0.0872664625997164,1.8819477274262173,0.6148566881148084,linoleum,0.7801078965998064,0.016745008535916397,0.018785899829884857,0.1843611950343925,linoleum,0.7801078965998064,0.016745008535916397,0.018785899829884857,0.1843611950343925
cell_carpet,0,0.0,1.5951779563719863,0.4643030971987046,linoleum,0.9430356574298387,0.00473566865157633,0.0022487111046219726,0.04997996281396291,linoleum,0.9430356574298387,0.00473566865157633,0.0022487111046219726,0.04997996281396291
