surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std
rubber_carpet,straight,-180.0,0.63206236026346,-0.5653876367152094,0.534848027071122,-0.5190283400809717,0,-3.141592653589793,0.4472374707100289,0.43600467225017553,0.4615166466485893,0.48693783028970217,2.251326364130763,0.6513876226791506
rubber_carpet,straight,0.0,-0.6807701875239188,0.7199598163030999,-0.8026119402985075,0.8563394565633372,0,0.0,0.12430732067793611,0.13348669674096475,0.12684452535018706,0.11680804086091644,3.0596814006888633,0.8864037789346134
rubber_carpet,straight,-180.0,0.6113843736781678,-0.5349809656172578,0.5263399601184361,-0.5059278506254155,1,-3.141592653589793,0.4499632319952393,0.4383050962385391,0.4442572928304421,0.4781698014552516,2.1786331500392775,0.6299864862298609
rubber_carpet,straight,0.0,-0.5107118254879448,0.5549942594718713,-0.6057405281285879,0.616211251435132,1,0.0,0.3912352972517193,0.38666067413313804,0.3971034794515561,0.4156835403892058,2.287657864523536,0.6620004062169934
rubber_carpet,straight,-180.0,0.762675086107922,-0.6994718714121699,0.7270264064293915,-0.7547990815154993,2,-3.141592653589793,0.08713086981311731,0.08410475911220822,0.07675811034844249,0.08646711474615598,2.9439724454649827,0.85027630885193
rubber_carpet,straight,0.0,-0.451044776119403,0.5335476463834672,-0.5182778415614238,0.5086452353616533,2,0.0,0.4434157073077827,0.4377106880171973,0.455020640419956,0.4972210388604639,2.011515499425947,0.5814117470116509
rubber_carpet,straight,-180.0,0.6459586681974742,-0.555878300803674,0.5734787600459241,-0.5918714121699198,3,-3.141592653589793,0.41792315890331816,0.38259049075003343,0.4146712025532255,0.4240358211227951,2.3671871412169923,0.6841462224216665
rubber_carpet,straight,0.0,-0.4232279896066228,0.5177593812314942,-0.5150643543416522,0.5036195540516044,3,0.0,0.4550129741914845,0.43296320203702326,0.4499081781932455,0.4755173833601499,1.9596712792313735,0.5669787788390007
rubber_carpet,square,-180.0,2.4110338993292646,1.0620339597558766,-0.9677321892561483,-2.7588494773098073,4,-3.141592653589793,0.4413512456471867,0.9085452726079464,0.9001330842888557,0.5481044691077341,7.199649525651097,2.2710268831022136
rubber_carpet,square,-90.0,-2.2551746760701987,-2.418719588868843,3.128259799901591,2.5118910939806463,4,-1.5707963267948966,1.5013267036078068,0.9683130487334681,1.2103332720648958,1.768876166704665,10.31404515882128,2.9887684500822775
rubber_carpet,square,0.0,-2.0227254416178218,-0.5437126110338993,0.8500674763832657,2.5134831913307956,4,0.0,0.4400115815701794,0.5526464489524701,0.7519438720826894,0.4920925414363596,5.929988720365783,1.9380752438781013
rubber_carpet,square,90.0,2.320299600896616,2.8072713356295442,-2.8421081406156032,-2.708654529550052,4,1.5707963267948966,1.3740326170733999,1.0286718241379498,1.0588607941938268,1.7370528522225825,10.678333606691815,3.0894539874827167
rubber_carpet,square,-180.0,2.3364179104477616,1.000780711825488,-0.9384500574052815,-2.7369115958668195,5,-3.141592653589793,0.47555828963588487,0.9279059675523574,0.906959845774499,0.5929161927882929,7.012560275545351,2.2213506192084784
rubber_carpet,square,-90.0,-2.328094144661309,-2.514902411021814,3.1576693455797926,2.5740298507462684,5,-1.5707963267948966,1.538791263369655,0.9889738083861537,1.2862150277651552,1.7827487031252605,10.574695752009184,3.0628860984396917
rubber_carpet,square,0.0,-1.1381473200797632,-0.04828086289201762,0.07328539488790864,1.6276995588857333,5,0.0,0.5104915224771122,0.8470261570288855,0.9703368976781136,0.5225850941614069,2.8874131367454225,1.138170285946194
rubber_carpet,square,90.0,2.3935935706084956,2.8061882893226175,-2.9883237657864523,-2.9212629161882893,5,1.5707963267948966,1.1843211244644642,0.8883458317689318,0.9499696826755517,1.5827556884526868,11.109368541905855,3.2115356207325316
rubber_carpet,square,-180.0,-0.8469957902793726,-2.2522442731397954,2.718571975288393,1.0892570116450713,6,-3.141592653589793,0.8480064816416056,0.4849333668543556,0.6257414270982721,1.0533060484274004,6.907069050352632,2.178806706376343
rubber_carpet,square,-90.0,-2.762801377726751,-2.250780711825488,2.866842709529277,3.138369690011481,6,-1.5707963267948966,1.0639696752475896,1.4941736230379763,1.9203534743866753,1.3864225290899534,11.018794489092997,3.189639688634461
