surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std
linoleum,straight,-180.0,0.07352659778032913,-0.32382319173363944,0.33410830463069274,-0.032701875239188674,0,-3.141592653589793,0.10267528862310034,0.1003593887295595,0.10406587380209806,0.13018194368120978,0.76415996938385,0.27222070588246167
linoleum,straight,0.0,-0.4258844240336777,-0.07657099119785686,0.06500956754688099,0.5452123995407577,0,0.0,0.11058940161209746,0.10493152944697834,0.11541796528649416,0.10731661576109905,1.1126773823191733,0.40241771680200017
linoleum,straight,-180.0,0.15421354764638345,-0.1741446613088404,0.305752009184845,-0.2566934557979334,1,-3.141592653589793,0.13574693374517638,0.1098541080790501,0.11306366884649567,0.1438865581608908,0.8908036739380023,0.26662826855248223
linoleum,straight,0.0,-0.24096440872560276,0.11354764638346729,-0.025706084959816286,0.2186222732491389,1,0.0,0.09896530011330805,0.11393267605664997,0.10435033240916944,0.1002837488923067,0.5988404133180252,0.19861258078348915
linoleum,straight,-180.0,0.19418695993715634,-0.1326847543658227,0.316514593026769,-0.3048522569339537,2,-3.141592653589793,0.03719492520764965,0.03236058473711114,0.018213122125927007,0.032834144683318044,0.9482385642637017,0.28699125600393516
linoleum,straight,0.0,-0.20177956371986225,0.2650631458094145,-0.06654420206659012,0.12569460390355913,2,0.0,0.10860403071722909,0.1172134143757771,0.11765911172974243,0.11831388099642037,0.6590815154994261,0.20611744853803035
linoleum,straight,-180.0,0.11560275545350175,-0.2990585533869117,0.3696326061997704,-0.12456946039035591,9,-3.141592653589793,0.13042346873180535,0.1236960777851945,0.11914603203592082,0.11927021674417781,0.9088633754305396,0.29097363175049307
linoleum,straight,0.0,-0.47229621125143506,0.029184845005740513,0.07540757749712974,0.49839265212399547,9,0.0,0.10845857846383045,0.03902946993410752,0.06535566600814265,0.12021718848015542,1.0752812858783007,0.39737770027311736
linoleum,straight,-180.0,0.19163030998851902,-0.1982204362801378,0.2968082663605052,-0.2350172215843858,10,-3.141592653589793,0.12762091848561619,0.10775666728238142,0.10587326591926367,0.11493732804748164,0.9216762342135478,0.2699258991749241
linoleum,straight,0.0,-0.2095594899993957,0.1407698350353495,-0.05597921324551333,0.18604145265574962,10,0.0,0.1016404944129355,0.12295366071057273,0.11066392550591717,0.09576949314694538,0.5923499909360082,0.18306450441065453
linoleum,straight,-180.0,0.284179104477612,-0.21901262916188294,0.2871182548794489,-0.26497129735935704,11,-3.141592653589793,0.04666455061359748,0.034272876504772336,0.030889074975026097,0.03874742838339358,1.055281285878301,0.305213076923333
linoleum,straight,0.0,-0.12907003444316872,0.18141216991963255,-0.15678530424799078,0.18668197474167622,11,0.0,0.11507723938416764,0.10524548773274721,0.12901041548115624,0.12271642839066485,0.6539494833524683,0.1891299687215543
