surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std
cell_carpet,straight,-180.0,0.3713260619977038,-0.33300803673938,0.2980195177956372,-0.32931974741676234,0,-3.141592653589793,0.2587791011881938,0.25424676424793374,0.24548738359897754,0.279029474260181,1.3316733639494835,0.3855870906870983
cell_carpet,straight,0.0,-0.3701355858072276,0.4192444371548849,-0.3863812804111311,0.43057924662402275,0,0.0,0.1131878251680075,0.1250683347230295,0.1141576110707198,0.13109845258741748,1.6063405499972665,0.4637810873284983
cell_carpet,straight,-180.0,0.3555252583237658,-0.28871986222732493,0.31571469575200917,-0.301894374282434,1,-3.141592653589793,0.2612892501687785,0.25384324591837004,0.25462500746072053,0.2410051888808185,1.2618541905855338,0.3646679877663394
cell_carpet,straight,0.0,-0.2174020009840905,0.300738067902247,-0.2847793997047729,0.26637690667541414,1,0.0,0.2619471658356028,0.249755017374314,0.2572356949548259,0.23998637376835608,1.0692963752665245,0.3102197533841364
cell_carpet,straight,-180.0,0.5181400688863377,-0.4231425291126784,0.35576513039199603,-0.394735115630638,2,-3.141592653589793,0.041158807598527684,0.055771372635041686,0.042362415206006,0.037972490798918346,1.69178284402165,0.49299039839446035
cell_carpet,straight,0.0,-0.15802525832376574,0.2403673938002296,-0.27536165327210105,0.2946039035591274,2,0.0,0.25237688500750827,0.23935161480694928,0.2650954927874438,0.25816954556741417,0.9683582089552238,0.2844785401970253
cell_carpet,straight,-180.0,0.47387239626045596,-0.3583893718222077,0.2566508118746924,-0.2809086435952108,3,-3.141592653589793,0.23747319016242818,0.2212846538366202,0.22068358078528322,0.22736301330348652,1.3698212235525669,0.40648771449601706
cell_carpet,straight,0.0,-0.1714810562571756,0.256318407960199,-0.3405128205128205,0.32515882127822426,3,0.0,0.24692833649169174,0.25259954122560485,0.2615529253782098,0.2464933537747062,1.0934711060084195,0.3243327174550877
cell_carpet,square,-180.0,1.4940987370838117,0.687393800229621,-0.793065442020666,-1.6377497129735938,4,-3.141592653589793,0.23360049234506536,0.5957505053688719,0.6218563250026281,0.2920895680587341,4.612307692307693,1.4142698644530658
cell_carpet,square,-90.0,-0.9238805970149254,-1.1610792192881743,1.4289322617680826,1.0811251435132032,4,-1.5707963267948966,1.0737827160091284,0.7241840818419258,0.9227390236939342,1.3420121836153955,4.595017221584386,1.3375552705867044
cell_carpet,square,0.0,-0.5219054301143854,0.08463451970914661,-0.052687417612790735,0.6577263256367734,4,0.0,0.19778561679287032,0.21833332200498723,0.21480487854000133,0.22604671530630444,1.316953693073096,0.48576113405094634
cell_carpet,square,90.0,1.0927669345579791,1.319288174512055,-1.4624569460390358,-1.2707692307692309,4,1.5707963267948966,0.8750608049804565,0.6095911721610929,0.7441706759511828,1.0643816661598662,5.145281285878301,1.4902469486486918
cell_carpet,square,-180.0,1.5041561423650975,0.7092307692307693,-0.7729965556831229,-1.5857864523536167,5,-3.141592653589793,0.21139565341832486,0.6495717791983725,0.6298364193175622,0.24184191975324876,4.572169919632606,1.3991010597272213
cell_carpet,square,-90.0,-0.962550881953867,-1.219162926625613,1.5256653793967228,1.139672268030477,5,-1.5707963267948966,1.0718029095650135,0.6906521159270843,0.8656727995857193,1.1897097910636936,4.84705145600668,1.411960477024826
cell_carpet,square,0.0,-0.8960581706850363,-0.42500318918229374,0.5303737721648168,1.2826636050516647,5,0.0,0.29675403504326786,0.5825852734691986,0.7661364996197249,0.2995513189031317,3.1340987370838116,0.9746042132714389
cell_carpet,square,90.0,1.1557290470723307,1.284133180252583,-1.4417680826636052,-1.2136624569460392,5,1.5707963267948966,0.9474899966173416,0.6875986365760918,0.7750534799776394,1.1461542812600727,5.095292766934558,1.4747612229493055
cell_carpet,square,-180.0,1.4938231917336395,0.6981171067738232,-0.7872330654420207,-1.6695292766934557,6,-3.141592653589793,0.22784788457882751,0.5845878267251797,0.5844410854777872,0.21514566272074429,4.64870264064294,1.4269321928874215
cell_carpet,square,-90.0,-0.9615843857634904,-1.1589207807118256,1.5084270952927668,1.13398392652124,6,-1.5707963267948966,1.1482234104654085,0.7149661175030166,0.9227534153940619,1.3703555126145326,4.7629161882893225,1.3857509785759436
cell_carpet,square,0.0,-1.373772164816941,-0.6547773950759025,0.8925117999744865,1.618573797678275,6,0.0,0.20709893149330857,0.5296903990824176,0.6298612043279262,0.19894631373626137,4.5396351575456055,1.3752734991773239
cell_carpet,square,90.0,1.0148105625717567,1.2655797933409876,-1.4267049368541906,-1.1512514351320318,6,1.5707963267948966,1.0925092056374108,0.7341708982383526,0.8863411324465782,1.2858079138518161,4.858346727898967,1.4107046881467247
cell_carpet,square,-180.0,-0.6350172215843857,-1.3925143513203215,1.6849598163030997,0.7640183696900116,7,-3.141592653589793,0.5943965095778799,0.2535703773429734,0.2868548843291722,0.6816033643302915,4.476509758897819,1.3809118280084414
