surface,angle_deg,target_angle,I_total_mean,I_total_std
rubber_carpet,-110,-1.9198621771937625,12.539505270848554,2.571071501066921
rubber_carpet,-105,-1.832595714594046,12.52036520693237,2.6359364763082986
rubber_carpet,-100,-1.7453292519943295,12.594144661308839,2.3604865724411126
rubber_carpet,-95,-1.6580627893946132,12.292422502870263,2.4024653322345886
rubber_carpet,-90,-1.5707963267948966,12.624167623421354,2.4211988874708466
rubber_carpet,-85,-1.4835298641951802,12.606721636572383,2.2450089152328645
rubber_carpet,-80,-1.3962634015954636,12.101853370510087,2.3077770472659864
rubber_carpet,-75,-1.3089969389957472,12.505066640043928,2.3292867272440447
rubber_carpet,-70,-1.2217304763960306,12.465034965034965,2.526850120683909
rubber_carpet,-65,-1.1344640137963142,11.706205813040063,2.7817656596236597
rubber_carpet,-60,-1.0471975511965976,11.477557268602045,2.5961985984352176
rubber_carpet,-55,-0.9599310885968813,10.905144606637144,2.6616483340039356
rubber_carpet,-50,-0.8726646259971648,9.771412169919632,2.220880340087455
rubber_carpet,-45,-0.7853981633974483,9.159221375639287,1.94508573690528
rubber_carpet,-40,-0.6981317007977318,8.106084959816304,2.6258504087255274
rubber_carpet,-35,-0.6108652381980153,8.437584803256444,2.169396812613942
rubber_carpet,-30,-0.5235987755982988,7.680443934175277,2.0768293456395317
rubber_carpet,-25,-0.4363323129985824,6.649281067191515,1.9125819358694096
rubber_carpet,-20,-0.3490658503988659,5.104790731656403,1.6524414589800238
rubber_carpet,-15,-0.2617993877991494,4.323191733639495,1.2623072348603503
rubber_carpet,-10,-0.1745329251994329,4.617049368541906,0.8619698880240276
rubber_carpet,-5,-0.0872664625997164,3.184584072643774,0.9404854962329604
rubber_carpet,0,0.0,4.36670493685419,1.2550327395942842
rubber_carpet,5,0.0872664625997164,3.2639494833524685,0.7038543374622024
rubber_carpet,10,0.1745329251994329,3.934175277458859,0.990329674291939
rubber_carpet,15,0.2617993877991494,4.433218522770762,1.2047159006317691
rubber_carpet,20,0.3490658503988659,5.772974591923327,1.8498963321545179
rubber_carpet,25,0.4363323129985824,6.3152593674981725,2.041257962393217
rubber_carpet,30,0.5235987755982988,6.9902684380296325,2.17665204993509
rubber_carpet,35,0.6108652381980153,8.830424799081516,2.355508631377051
rubber_carpet,40,0.6981317007977318,9.1765087605451,2.0675649806546215
rubber_carpet,45,0.7853981633974483,9.411538461538461,2.1918618634517943
rubber_carpet,50,0.8726646259971648,9.933180252583238,2.2664711805076405
rubber_carpet,55,0.9599310885968813,11.388691159586681,2.8699271655565877
rubber_carpet,60,1.0471975511965976,10.510846576832437,3.589989287234291
rubber_carpet,65,1.1344640137963142,12.372299342448597,2.818802572992805
rubber_carpet,70,1.2217304763960306,12.702695314635614,2.6972386472870866
rubber_carpet,75,1.3089969389957472,12.815572487214279,2.6200429819872944
