surface,motion_type,angle_deg,target_angle,I_total,I_total_avg
linoleum,straight,0,0.0,2.1366245694603903,2.1366245694603903
linoleum,straight,0,0.0,1.8794489092996556,2.0080367393800227
linoleum,straight,0,0.0,1.1308840413318024,1.7156525066972828
linoleum,straight,0,0.0,1.322617680826636,1.617393800229621
linoleum,straight,0,0.0,1.2732491389207807,1.548564867967853
linoleum,straight,0,0.0,1.4006888633754304,1.5239188672024493
linoleum,straight,0,0.0,1.2101033295063144,1.4790880761030014
linoleum,straight,0,0.0,1.119402985074627,1.4341274397244546
linoleum,straight,0,0.0,0.9437428243398394,1.379640260237275
linoleum,straight,0,0.0,1.1458094144661308,1.2695496874601353
linoleum,straight,0,0.0,0.9632606199770378,1.1677509886465112
linoleum,straight,0,0.0,1.1021814006888633,1.1645618063528511
linoleum,straight,0,0.0,1.0332950631458095,1.1324148488327592
linoleum,straight,0,0.0,0.9758897818599312,1.0993749202704428
linoleum,straight,0,0.0,0.9448909299655569,1.0487307054471233
linoleum,straight,0,0.0,0.9575200918484501,1.0206659012629165
linoleum,straight,0,0.0,0.7692307692307692,0.9817578772802654
linoleum,straight,0,0.0,0.8231917336394949,0.9683633116468938
linoleum,straight,0,0.0,0.6911595866819747,0.9178466641153208
linoleum,straight,0,0.0,0.9862227324913891,0.9203980099502487
linoleum,straight,0,0.0,0.7244546498277842,0.8784283709656845
linoleum,straight,0,0.0,0.8495981630309989,0.8580176042862611
linoleum,straight,0,0.0,0.7944890929965557,0.8378619721903305
linoleum,straight,0,0.0,0.7405281285878301,0.8151549942594719
linoleum,straight,0,0.0,0.809414466130884,0.7986988136241868
linoleum,straight,-180,-3.141592653589793,0.7083811710677382,0.7083811710677382
linoleum,straight,-180,-3.141592653589793,2.065442020665901,1.3869115958668197
linoleum,straight,-180,-3.141592653589793,1.1940298507462686,1.3226176808266359
linoleum,straight,-180,-3.141592653589793,0.886337543053961,1.2135476463834671
linoleum,straight,-180,-3.141592653589793,0.9368541905855338,1.1582089552238806
linoleum,straight,-180,-3.141592653589793,1.0195177956371986,1.1350937619594335
