surface,angle_deg,target_angle,I_total_mean,I_total_std,K_energy_mean,K_energy_std
linoleum,-180,-3.141592653589793,1.0204846214272765,0.31868595619714557,0.07947699543826142,0.02481977852002691
linoleum,-175,-3.0543261909900767,1.2813902515395053,0.39983944092456686,0.09979674856226678,0.031140143374187447
linoleum,-170,-2.9670597283903604,1.875047837734405,1.3394230346956726,0.1460317630634272,0.10431643572396206
linoleum,-165,-2.8797932657906435,1.762281708864584,0.4168147844001265,0.1372493542729427,0.03246221062306282
linoleum,-160,-2.792526803190927,1.9752337215023783,0.3573268399561911,0.15383440198616655,0.027829193143005547
linoleum,-155,-2.705260340591211,2.177382319173364,0.42614633666727264,0.1695780622409162,0.03318896703016143
linoleum,-150,-2.6179938779914944,2.4716297057224,0.38810434350404033,0.1924945253677882,0.030226194976950192
linoleum,-145,-2.530727415391778,2.4964650432050273,0.5439828591143171,0.19442874168263455,0.042366266286161774
linoleum,-140,-2.443460952792061,2.6044776119402986,0.38843441323340816,0.20284093550936907,0.03025190134216574
linoleum,-135,-2.356194490192345,2.5471543381991144,0.44131342938129053,0.19837650609027374,0.03437020478047434
linoleum,-130,-2.2689280275926285,3.2048462142727656,0.7550333934285635,0.24959861481875123,0.058803223787271305
linoleum,-125,-2.181661564992912,3.4716901323342797,0.8003711097670372,0.2703808514279034,0.06233419857998732
linoleum,-120,-2.0943951023931957,4.032407890616846,1.3498709733529286,0.3140504587707824,0.10513013811159877
linoleum,-115,-2.007128639793479,3.6558704453441297,0.45409586792426265,0.28472511256574223,0.035365721800955006
linoleum,-110,-1.9198621771937625,3.7367648934813116,0.6855894381932077,0.2910253032306318,0.053394816058661025
linoleum,-105,-1.832595714594046,3.8661882893226176,0.49962385374813456,0.3011050069565902,0.03891151508941858
linoleum,-100,-1.7453292519943295,3.6798972172106503,0.5351553729686265,0.28659635648058024,0.041678767365157826
linoleum,-95,-1.6580627893946132,3.6858655440744994,0.7800299282597469,0.2870611794450545,0.060749994412752875
linoleum,-90,-1.5707963267948966,3.8426573426573425,0.5104004527697816,0.2992723787116311,0.039750814078643434
linoleum,-85,-1.4835298641951802,3.937035470421174,0.9433122457231244,0.30662270018856497,0.07346668580398165
linoleum,-80,-1.3962634015954636,3.7448788446431807,0.4462127574335408,0.2916572308912135,0.03475177238578978
linoleum,-75,-1.3089969389957472,3.5733743868072225,0.5822846079140052,0.278300185888413,0.045349268529128135
linoleum,-70,-1.2217304763960306,3.8499112827471036,0.8349077384743089,0.29983732731675267,0.06502396717089634
linoleum,-65,-1.1344640137963142,3.6511571696174996,0.5085816010731499,0.28435803501693924,0.03960915896208334
linoleum,-60,-1.0471975511965976,3.733092777868897,0.40528008557723844,0.2907393129181384,0.03156386959324286
linoleum,-55,-0.9599310885968813,3.5400470176589582,0.46668120819673353,0.2757045963908846,0.03634588848884218
linoleum,-50,-0.8726646259971648,3.0180416598327047,0.4718795330418135,0.23504997350722,0.036750742448739375
linoleum,-45,-0.7853981633974483,2.7929784276995586,0.8778651369166661,0.2175216844002772,0.06836955894989614
linoleum,-40,-0.6981317007977318,2.544803455251216,0.5123647747248649,0.19819341551800754,0.039903798654584495
linoleum,-35,-0.6108652381980153,2.4931687715269804,0.36854792493676225,0.1941720227045935,0.02870310941875095
linoleum,-30,-0.5235987755982988,2.299138920780712,0.5703656405694861,0.179060663612205,0.0444210000443525
linoleum,-25,-0.4363323129985824,2.2772948444590235,0.23549172263460505,0.17735941156222929,0.018340476840701336
linoleum,-20,-0.3490658503988659,1.9570034443168773,0.35242019568269967,0.15241459846704652,0.027447055738528018
linoleum,-15,-0.2617993877991494,1.9395331037122086,0.5430230479009984,0.15105398003989162,0.04229151463403417
linoleum,-10,-0.1745329251994329,1.4210267344595702,0.5641806660104275,0.11067186405448368,0.04393930420641959
linoleum,-5,-0.0872664625997164,1.3617626154939588,0.40553748041602083,0.1060562784652616,0.031583915920250845
linoleum,0,0.0,0.8169591602427424,0.36146489206154964,0.0636261028226435,0.028151471344357457
linoleum,5,0.0872664625997164,1.4411746933349447,0.3884936485015445,0.1122410197301359,0.030256514680805632
linoleum,10,0.1745329251994329,1.657924950148045,0.435970085018946,0.12912188085265153,0.03395405646565
linoleum,15,0.2617993877991494,2.6185009020829915,1.302271779381969,0.20393309206253832,0.10142303577741192
linoleum,20,0.3490658503988659,2.1775098864651103,0.4481586360385671,0.16958799738824848,0.03490332056375133
linoleum,25,0.4363323129985824,2.3105927850625414,0.5041263643801006,0.17995270911702038,0.0392621779112228
linoleum,30,0.5235987755982988,2.59447700767418,0.3859108818352889,0.2020620722487679,0.03005536462891658
linoleum,35,0.6108652381980153,2.7242824339839267,0.8194698876498846,0.21217152912647402,0.0638216423403337
linoleum,40,0.6981317007977318,2.8655622983981193,0.7082546173811664,0.22317463383162925,0.055160016929997384
linoleum,45,0.7853981633974483,2.7621234486906125,0.48785527900675285,0.21511864865191693,0.03799495942420194
linoleum,50,0.8726646259971648,3.232204362801378,0.6347502198871269,0.2517293117446556,0.049435375380617395
linoleum,55,0.9599310885968813,3.7844295008474114,0.5422874788261848,0.2947375000659978,0.04223422732291161
