surface,motion_type,angle_deg,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,number,target_angle,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std
grass,straight,-180.0,0.45756601607347874,-0.7390355912743973,0.9948450057405283,-0.4331343283582089,0,-3.141592653589793,0.5115558236721857,0.4537536693888187,0.44272916419926484,0.6228587733232495,2.624580941446613,0.7985880096033833
grass,straight,0.0,-1.5732558362035973,-0.1539198239571374,0.23182644469957903,2.088514159969384,0,0.0,0.5117167599752296,0.6133876684566719,0.6995939751240666,0.5903962660822564,4.047516264829698,1.508475938639392
grass,straight,-180.0,0.664818763326226,-0.66290525395003,0.617013831939205,-0.6916516319501395,1,-3.141592653589793,0.44648847436352607,0.41917532604633956,0.46990987882320634,0.6155884230156283,2.6363894811656006,0.7614007282538934
grass,straight,0.0,-0.5097347271738474,0.5672246057163576,-0.5837694120490664,0.8191552359659194,1,0.0,0.40151991497456024,0.400071589762932,0.4735077683592992,0.5118852866461461,2.479883980905191,0.7238626085565321
grass,straight,-180.0,0.6259701492537313,-0.6174856486796785,0.5965442020665901,-0.7778874856486796,2,-3.141592653589793,0.476166777452408,0.3988177783183178,0.575449301332743,0.6022301258387774,2.6178874856486796,0.7586459516169661
grass,straight,0.0,-0.4778899027131549,0.39376397365399723,-0.6834249803613511,0.6538401111849659,2,0.0,0.449554760555919,0.44284499760635393,0.5275693920395736,0.5812480232112246,2.208918967913469,0.6518621747042379
grass,straight,-180.0,0.9457520091848448,-0.7445464982778417,0.9724569460390357,-0.7052009184845005,3,-3.141592653589793,0.16385803720969883,0.0993752484749186,0.10266932399885825,0.16686107859064123,3.3679563719862227,0.9724390546544087
grass,straight,0.0,-0.6136394948335248,0.5299196326061999,-0.4424454649827784,0.6206084959816303,3,0.0,0.49146736313192557,0.4575635133975398,0.5829141728990895,0.6190028888076495,2.2066130884041337,0.6418855721953198
grass,straight,-180.0,0.6937887485648679,-0.6041446613088404,0.5228473019517796,-0.6823995407577497,4,-3.141592653589793,0.4391477737059278,0.35818078969885836,0.48515097506591065,0.5608402459999713,2.5031802525832374,0.7266705457987912
grass,straight,0.0,-0.5699655568312285,0.49830080367393803,-0.5714006888633754,0.4887944890929965,4,0.0,0.45509475034848373,0.42117835049531244,0.5082638113065364,0.5996013183100354,2.128461538461538,0.6144464568449518
grass,straight,-180.0,0.6239651942715572,-0.7566620339597558,0.5896670493685419,-0.6300561967490482,5,-3.141592653589793,0.3767617469857474,0.4632873757220974,0.4856280392743187,0.5839970822800711,2.600350474348903,0.7525641385161018
grass,straight,0.0,-0.5196326061997704,0.45956371986222744,-0.5906659012629162,0.37539609644087263,5,0.0,0.4438561875373351,0.47619570910961606,0.5181478020424467,0.5497326271618189,1.9452583237657868,0.5633449048510699
grass,square,-180.0,1.6757859056366518,0.42347602646110105,-0.08175605489038325,-2.1063145809414467,6,-3.141592653589793,0.4557179261345518,0.9155567744451835,0.9931362220264169,0.5816878302729723,4.2873325679295835,1.5736225475476202
grass,square,-90.0,-1.9130944467943682,-1.9678651278022838,2.691497975708502,2.108079038008339,6,-1.5707963267948966,1.160906712785196,0.6193285457308908,0.7862551875947931,1.368476440549546,8.680536588313494,2.5172483394535488
grass,square,0.0,-0.957636815920398,0.2835820895522388,-1.2573593570608494,-0.004741676234213548,6,0.0,0.19508081734282134,0.6323804183783416,0.28224013564498807,0.8836648959624046,2.5033199387677,0.7396592295518452
grass,square,90.0,1.9544262493202007,2.359175781013959,-2.6682941567466316,-2.643096259592725,6,1.5707963267948966,0.935207323163817,0.6518457386354362,0.6354508625838097,1.3209700532970707,9.624992446673517,2.783424057903275
grass,square,-180.0,1.739138316514593,0.3909239228956434,-0.29767357544262496,-2.2745060124478824,7,-3.141592653589793,0.4874933607836267,0.8841571234066258,1.0178774034992613,0.5904209747712031,4.702241827300744,1.6723779295943535
