surface,angle_deg,target_angle,I_mean_wheel_joint_fl,I_mean_wheel_joint_fr,I_mean_wheel_joint_bl,I_mean_wheel_joint_br,I_std_wheel_joint_fl,I_std_wheel_joint_fr,I_std_wheel_joint_bl,I_std_wheel_joint_br,I_total,I_std
linoleum,-180.0,-3.141592653589793,0.14816605232944588,-0.15016013052148164,0.356094023808085,-0.3485406973231011,0.09489654120483823,0.091681327535566,0.12928146476846178,0.11248982174501941,1.0029609039821137,0.31239776409412806
linoleum,-175.0,-3.0543261909900767,0.04561110531259785,-0.33978707859304874,0.584698883206346,-0.11089656612044671,0.20746693343383996,0.2413840905920119,0.275150333237318,0.2075330229550593,1.0809936332324392,0.39312426290740105
linoleum,-170.0,-2.9670597283903604,0.04860313815537697,-0.7004082153335885,0.7991452991452991,0.00950376323510652,0.34641244012637906,0.4560950226362073,0.44590365648273994,0.3109923752970109,1.557660415869371,0.6125105318505321
linoleum,-165.0,-2.8797932657906435,-0.04368844038914738,-0.6497069309323826,0.6917034261888936,0.0703365762281709,0.17215267527302297,0.326384999522635,0.36602635883149665,0.1854137630944269,1.4554353737385946,0.549621269098885
linoleum,-160.0,-2.792526803190927,-0.14165436553496258,-0.6882073150729867,0.7891312667432071,0.12093379257558363,0.16630319943407187,0.30917752727599795,0.37111958645094323,0.18833843739776523,1.73992673992674,0.6135797314786878
linoleum,-155.0,-2.705260340591211,-0.1807118254879449,-0.7291044776119403,0.8384615384615384,0.19397244546498277,0.1815220369248935,0.34474082748951496,0.39055706376228083,0.21867100996174585,1.9422502870264062,0.6585677364076014
linoleum,-150.0,-2.6179938779914944,-0.2151791649042238,-0.8186597377485044,0.9117167200435072,0.2873889661006707,0.1984892474658854,0.35275574645676383,0.41929088770742085,0.24912776651484514,2.232944588796906,0.7356397119132051
linoleum,-145.0,-2.530727415391778,-0.27270529941386185,-0.805184603299293,0.9019880355308477,0.27270529941386185,0.20419121885806576,0.4719012161363364,0.48892500568068176,0.22040052132846583,2.2525832376578645,0.7321881124785928
linoleum,-140.0,-2.443460952792061,-0.32019390228345446,-0.8403495343793852,0.9181017986988136,0.27350427350427353,0.20087270513928876,0.4397577754686731,0.44463271644487434,0.21202870401531415,2.352149508865927,0.7585481205475314
linoleum,-135.0,-2.356194490192345,-0.39341752774588595,-0.6104641627029687,0.9152588704827511,0.26105735060958946,0.17033969756594464,0.5220381037023971,0.602396221096406,0.20453703153301095,2.180197911541195,0.6894104168411879
linoleum,-130.0,-2.2689280275926285,-0.5541120309384253,-0.6492839446492236,0.6871110036860234,0.45011783189316573,0.372796654203914,0.8878705253893626,0.8868634672959562,0.40893472265189273,2.3406248111668377,0.6836770326648776
linoleum,-125.0,-2.181661564992912,-0.6649948637379902,-0.7572058734666748,0.8747356335730254,0.6535138074808146,0.38579207392693443,0.5937801036925063,0.7241178519855493,0.4428084918659592,2.950450178258505,0.8573233631335356
linoleum,-120.0,-2.0943951023931957,-0.8674981734683227,-0.8219914413944264,1.1298924955641374,0.7421981004070556,0.4380825457766777,0.7664691735139941,0.8555959980368669,0.42606096972036744,3.561580210833942,1.0404169521400408
linoleum,-115.0,-2.007128639793479,-0.880174028642214,-0.6850564988821077,1.0161943319838056,0.7655447459060971,0.40228033247385453,0.3984443103354126,0.47220773083336026,0.42441199337570434,3.346969605414224,0.9748503163053578
linoleum,-110.0,-1.9198621771937625,-0.8204490368669473,-0.722158438576349,0.946230386528894,0.7463324403622912,0.4647533739931696,0.5643025544499886,0.6205714728796483,0.4574911696243446,3.2351703023344816,0.9383304031760737
linoleum,-105.0,-1.832595714594046,-0.8272101033295064,-0.8608495981630311,1.0337543053960965,0.8446039035591274,0.37830431096861195,0.42450674476559275,0.43059308790271633,0.4232952716289598,3.566417910447761,1.0325193982123717
linoleum,-100.0,-1.7453292519943295,-0.8373517030233448,-0.7455032529659397,0.9554972390793286,0.8612979060740255,0.35800067786786965,0.4057924613695787,0.43881595884918145,0.42327769563241957,3.3996501011426385,0.9828631692845287
linoleum,-95.0,-1.6580627893946132,-0.7675723944380661,-0.7476081132797551,0.8855083556576094,0.8060339328996046,0.483014948732746,0.5246678301301664,0.5469940433342914,0.5174334195586077,3.206722796275035,0.9263054124198523
linoleum,-90.0,-1.5707963267948966,-0.8521031207598372,-0.827053543471454,0.9847615071495669,0.9103955745746791,0.37478213451648484,0.3870669889062006,0.403657502232795,0.4399042745271908,3.5743137459555374,1.032312707025138
linoleum,-85.0,-1.4835298641951802,-0.9998791467762402,-0.791044776119403,1.0582512538521964,0.8048220436280137,0.4715408776788364,0.6904442463284024,0.4053061918326493,0.44622562734640425,3.6539972203758535,1.063303500277925
linoleum,-80.0,-1.3962634015954636,-0.9011420629645296,-0.7372046649344373,0.9856788929844704,0.8028883920478579,0.4109041884599003,0.40969051631905073,0.4231117332219204,0.46442872006516545,3.426914012931295,0.9943303997932454
linoleum,-75.0,-1.3089969389957472,-0.883467278989667,-0.7106773823191733,1.0105938837282122,0.8204258428139025,0.30859200432708284,0.28047590574563247,0.3060440562188037,0.38003653219313,3.425164387850955,0.994308450974662
linoleum,-70.0,-1.2217304763960306,-0.9390982152176183,-0.7530529172320217,0.9223463104060119,0.9832480951883938,0.4367900816682995,0.4115249909625414,0.3738480862484781,0.4747074353244829,3.5977455380440455,1.0416500018840422
linoleum,-65.0,-1.1344640137963142,-0.7601667774487885,-0.5914556770801862,0.8892380204241949,0.6895280681612181,0.7796567026753334,0.40805070606486155,0.47147183762712347,0.7969192309093173,2.930388543114388,0.8526366955146153
linoleum,-60.0,-1.0471975511965976,-0.9100103876223279,-0.7350062872450932,0.8673664643813898,0.9308403039746324,0.37416980340486466,0.41271508820266073,0.4097359799483655,0.4352251588063636,3.4432234432234434,0.9968742150210749
linoleum,-55.0,-0.9599310885968813,-0.8484500574052812,-0.6421737466513586,0.7797824066480783,0.9800995024875622,0.39150704854876445,0.4149888624785005,0.41368583249484353,0.4425086148259902,3.2505057131922803,0.945654143173888
linoleum,-50.0,-0.8726646259971648,-0.7178940462522553,-0.4499480618883604,0.6440872560275545,0.7091465748182166,0.5175038372306231,0.3894759286246436,0.38299502740793395,0.6004183363926517,2.5210759389863866,0.7364260214674527
linoleum,-45.0,-0.7853981633974483,-0.7319475497008882,-0.2598344310834491,0.3685419058553387,0.8385400930569823,0.7565560542345705,0.19596953930474215,0.22777385536503164,0.8916630288131068,2.1988639796966583,0.6905662523546924
linoleum,-40.0,-0.6981317007977318,-0.8231917336394948,-0.235580340057952,0.3512109780766497,0.9314416926357225,0.4129796739851649,0.18667492041287048,0.2115634721756096,0.4707395677593865,2.341424744409819,0.7553244058958892
linoleum,-35.0,-0.6108652381980153,-0.7586107921928817,-0.2761768082663605,0.3093570608495982,0.9304247990815154,0.3463396857622501,0.2261341605414042,0.19903469330838036,0.43334008135494306,2.2745694603903557,0.730901361264519
linoleum,-30.0,-0.5235987755982988,-0.7049942594718714,-0.18323765786452356,0.39207807118254884,0.6940298507462687,0.4767763452580012,0.21800912646266815,0.23079237811139042,0.5609197461656494,1.9743398392652125,0.6208077706984451
linoleum,-25.0,-0.4363323129985824,-0.7358810343884971,-0.2040347711989503,0.27838827838827834,0.8603138155376963,0.30951839083190635,0.17363181488811685,0.19301722151869574,0.3690668231430713,2.078617899513422,0.6809091917605605
linoleum,-20.0,-0.3490658503988659,-0.6715269804822044,-0.10815154994259471,0.19540757749712973,0.7425373134328359,0.3174028004321906,0.1895128915443822,0.1610459424517471,0.3772320628576893,1.7176234213547648,0.5904599806470079
linoleum,-15.0,-0.2617993877991494,-0.5609771654547774,-0.14153591019262662,0.19160607220308715,0.569843092231152,0.4682146970729278,0.2501620870169375,0.27978434086533843,0.5156937986461896,1.4639622400816432,0.4814192438557809
linoleum,-10.0,-0.1745329251994329,-0.4621125143513203,-0.02329014269312777,0.018861735279645728,0.5206659012629162,0.31378630415796743,0.19801842303436207,0.23617371181979704,0.3379188628647173,1.0249302935870102,0.40199783337352785
linoleum,-5.0,-0.0872664625997164,-0.4999179924553059,0.0016948225903449798,0.03493521403969165,0.6879886282871358,0.15843465420051409,0.110070712637626,0.1271433399580671,0.17963428981176993,1.2245366573724783,0.4871163773970809
linoleum,0.0,0.0,-0.2863703460718386,0.27264775025969057,-0.10152534033131048,0.13410967142310426,0.10916883037065095,0.1358590887075008,0.09004147575740862,0.10948294495254866,0.7946531080859439,0.248024614548057
linoleum,5.0,0.0872664625997164,0.024170644751948755,0.7255423288416218,-0.47761194029850745,-0.1171672004350716,0.10537060330355033,0.19300489696347925,0.193686095837016,0.11955282781197875,1.3444921143271498,0.5042605431854233
linoleum,10.0,0.1745329251994329,0.08399299051302195,0.673092029729893,-0.5668016194331984,-0.15517553930751105,0.17365106050921317,0.2717511669021564,0.30113410904119176,0.1531310973261424,1.4790621789836242,0.5180550441307328
linoleum,15.0,0.2617993877991494,0.21906948772620413,0.6548029085342518,-0.6295992564649281,-0.23000382701875244,0.436406051539455,0.8404989771875262,0.8133960483066152,0.44118553718934883,1.7334754797441367,0.5555790883814291
linoleum,20.0,0.3490658503988659,0.2098481949228218,0.7544329633881872,-0.7664880724582216,-0.2358719224390866,0.19340907068606505,0.35437328169247295,0.3644522740929285,0.1877136577089907,1.9666411532083172,0.6470400272847469
linoleum,25.0,0.4363323129985824,0.30606078917155116,0.7338207746691644,-0.7528551574113239,-0.2831591032690797,0.2430221139932607,0.383317198241796,0.4118702304630623,0.21728173580993368,2.0758958245211194,0.6529758450869144
linoleum,30.0,0.5235987755982988,0.31578947368421056,0.8624690313614115,-0.8334038310471932,-0.38268173303522873,0.22153926124041448,0.3669776910201613,0.3975693959102339,0.20884096125759927,2.394344069128044,0.7492719476379239
linoleum,35.0,0.6108652381980153,0.34959816303099883,0.7320321469575202,-0.7153846153846154,-0.4030424799081515,0.26205190736663164,0.7201808565894413,0.6853782061122308,0.2360186421028454,2.200057405281286,0.6663257030064728
linoleum,40.0,0.6981317007977318,0.25635558471379366,1.063965884861407,-0.9577934503307636,-0.4062653764146302,0.22044768401697698,0.5078729480799452,0.48438451235037133,0.20938918793767372,2.6843802963205943,0.8717192209325278
linoleum,45.0,0.7853981633974483,0.33338800502979604,0.8929528183259525,-0.8925154447542507,-0.45530588814170897,0.186738762801514,0.38616595523922603,0.4349830370840766,0.1990881270705786,2.5741621562517083,0.7976444884796442
linoleum,50.0,0.8726646259971648,0.6104477611940299,0.8908151549942596,-0.7851320321469575,-0.7504018369690011,0.30628418946832825,0.44530499483980474,0.41652469208833864,0.3847985869386161,3.036796785304248,0.8842020338117056
linoleum,55.0,0.9599310885968813,0.696626756328249,0.7731124596796239,-0.7903340440653873,-0.8284948881963807,0.3779970879174878,0.825691391298479,0.8361863387286151,0.4104339477560405,3.0885681482696414,0.8922754541148176
linoleum,60.0,1.0471975511965976,0.746208230104538,0.9835639615686749,-0.9152214635325399,-0.9252522811045985,0.3505094738734716,0.41369967437133187,0.4281173965802246,0.38359518678520915,3.570245936310351,1.035194537549209
linoleum,65.0,1.1344640137963142,0.7416762342135477,1.012082444918266,-0.964736755781532,-1.006123230003827,0.36177954167664167,0.40094679473491385,0.43952478625243596,0.4144164084612053,3.7246186649171724,1.0809890886406555
linoleum,70.0,1.2217304763960306,0.7853042479908151,1.0422502870264063,-1.0167049368541905,-1.0519517795637199,0.3803768680569846,0.3866052353770746,0.4503719877289537,0.42884034313954383,3.8962112514351315,1.129711959218066
linoleum,75.0,1.3089969389957472,0.7563464727643833,0.8545095037632352,-0.7419313687970405,-0.8774078326317133,0.46858110343411724,0.5579260820178683,0.6638023193249353,0.5071075503707511,3.230195177956372,0.9349750706796348
linoleum,80.0,1.3962634015954636,0.821182548794489,0.9667049368541906,-0.930137772675086,-1.004190585533869,0.38560607467484176,0.41602266661441073,0.44099186702078724,0.42313691908695117,3.7222158438576347,1.0765768263846986
linoleum,85.0,1.4835298641951802,0.7995649283944649,0.9456764759199952,-0.9228352166294036,-0.9653755513928334,0.3905594637848356,0.4400274562406473,0.4497151831284384,0.43606729407001554,3.633452172336697,1.050725591256761
linoleum,90.0,1.5707963267948966,0.746268656716418,0.8320321469575201,-0.791963260619977,-0.8826061997703789,0.5436360057281715,0.5540003780644819,0.6170390051700774,0.5908734950292289,3.252870264064294,0.9404036363970717
linoleum,95.0,1.6580627893946132,1.0088222853344613,0.8455495800350474,-0.9384252824944105,-0.9889419300259834,0.32216271487808346,0.31816255198152754,0.31015601455560715,0.3840876575829586,3.7817390778899025,1.0939214730038442
linoleum,100.0,1.7453292519943295,0.7205182876824667,0.8995134219014815,-0.7055929145481384,-1.0344978404679899,0.4800408755526213,0.4544917355877073,0.4365955370049133,0.51612315220399,3.3601224646000767,0.9819563124127496
linoleum,105.0,1.832595714594046,0.8152698048220436,0.9558553386911596,-0.8460390355912744,-1.0737657864523535,0.41173010241157054,0.3614824978277123,0.4476672750275184,0.4383877323535776,3.6909299655568315,1.0710668957254477
linoleum,110.0,1.9198621771937625,0.8273467825706632,0.8384998086490624,-0.84363894811656,-1.0094582034880544,0.5475844588257508,0.5707240263712544,0.6276831763565857,0.646541787028186,3.51894374282434,1.0180948668979681
linoleum,115.0,2.007128639793479,0.9169919632606199,0.9493685419058553,-0.8657864523536165,-1.1468427095292768,0.3357216624301519,0.2375368053173419,0.2496272572770506,0.40524026902593857,3.8789896670493684,1.125708760520844
linoleum,120.0,2.0943951023931957,0.8783582089552239,0.8083811710677383,-0.7857634902411021,-0.9964408725602756,0.3776106505583438,0.36171798992579973,0.40968576730410433,0.4060675071355336,3.46894374282434,1.005490517997098
linoleum,125.0,2.181661564992912,0.9873708381171068,0.8069460390355913,-0.7784730195177957,-1.0730195177956372,0.4316552508161055,0.38986175014176966,0.44344162091964817,0.44161757000999174,3.6458094144661306,1.0618595239073356
linoleum,130.0,2.2689280275926285,0.8628833852714449,0.6585205838937183,-0.5488491607894593,-0.9372915641572357,0.3737281456004402,0.4131712284645293,0.3838476969657071,0.38754857271804766,3.007544694111858,0.8865019457453062
linoleum,135.0,2.356194490192345,0.746752069611457,0.35216629403589345,-0.3233428001691945,-0.8221644812375369,0.608873309273421,0.2716099248787134,0.30627370947148996,0.6812858626866919,2.244425645054082,0.6980024166479932
linoleum,140.0,2.443460952792061,0.8564293915040184,0.37898966704936854,-0.28421354764638346,-0.9807118254879449,0.3656255552949304,0.20832973551382086,0.1863011346041913,0.3779564674352938,2.500344431687715,0.7998874587569048
linoleum,145.0,2.530727415391778,0.8784820835095777,0.28225270409088166,-0.308961266541785,-0.9381231494350112,0.35392563713132696,0.18082137662077394,0.22754865691366716,0.39675995511179096,2.4078192035772554,0.7799712394617998
linoleum,150.0,2.6179938779914944,0.9078235197638183,0.26280684489639716,-0.27707615767317256,-0.7894592969219835,0.35943319141953256,0.1830693589169405,0.18354267827759485,0.384749274327508,2.2371658192553716,0.7281298468984051
linoleum,155.0,2.705260340591211,0.6857470887321633,0.2621507845388442,-0.20611229566453448,-0.8390465256136898,0.580709185935035,0.1873644830946182,0.2003954547181027,0.5948918599323387,1.9930566945492316,0.6539848446525505
linoleum,160.0,2.792526803190927,0.8217414949543779,0.21578343102302255,-0.209922049670675,-0.8147320079763128,0.3433590565335608,0.16573530874687137,0.19135448261465374,0.3466895021538665,2.0621789836243885,0.6903225503535964
linoleum,165.0,2.8797932657906435,0.7522962112514351,0.17020665901262916,-0.12525832376578647,-0.760390355912744,0.31257958727082974,0.14860663537765806,0.18677065370212992,0.32659202320503977,1.8081515499425946,0.6294080497928988
linoleum,170.0,2.9670597283903604,0.7104961024835338,0.03559127439724455,-0.1152335488549157,-0.6475315729047073,0.23790155431586618,0.13749866445477496,0.1575231836170538,0.2621815106259704,1.5088524986404013,0.5593382466075704
linoleum,175.0,3.0543261909900767,0.5071094232977126,-0.04651299714445524,0.06788542494627454,-0.5065795283935353,0.24787303276167044,0.188373103860353,0.2029663817588138,0.2840598965687169,1.1280873737819777,0.4165072018878234
grass,-180.0,-3.141592653589793,0.8430720889479727,-0.8186597377485044,0.9438032509517191,-0.7543053960964409,0.4034590940523499,0.37677237200442887,0.3917045719330854,0.4355197783937994,3.359840473744637,0.9711292612893497
grass,-175.0,-3.0543261909900767,0.4737849215461156,-0.9696572084631787,1.0131758788475207,-0.5807227598272374,0.31191144311354924,0.4205060591399042,0.4490680711834848,0.30021296304383066,3.0373407686840523,0.9178718213626368
grass,-170.0,-2.9670597283903604,0.252911267836641,-1.1758788475206385,1.3701273850527582,-0.2958285495598929,0.35671978846531804,0.5655341086111911,0.641855068105244,0.2838493126708767,3.0947460499699306,1.065472269028348
grass,-165.0,-2.8797932657906435,0.19039418293149638,-1.206084959816303,1.4483352468427095,-0.16067100395458606,0.4067852762566643,0.6474628661304195,0.7744514238448466,0.37229843818389446,3.005485393545095,1.094819413175142
grass,-160.0,-2.792526803190927,0.0406671097951538,-1.3288416218502628,1.504260076137531,-0.24786996193123453,0.5782877740098078,0.8284483821692805,0.9894792012050183,0.5917657476052032,3.121638769714182,1.167826928170888
grass,-155.0,-2.705260340591211,-0.23261895649955353,-1.5538333971169793,1.737912999107029,0.15754560530679937,0.6825582248610753,0.9037876760663243,1.1536687537269892,0.6548489240318817,3.681910958030361,1.3553230149374584
grass,-150.0,-2.6179938779914944,-0.3714695752009185,-1.773478760045924,2.131687715269805,0.3322043628013778,0.7607927182461116,0.9820322660834545,1.257526891134169,0.8022081429322852,4.608840413318026,1.6240112411309178
grass,-145.0,-2.530727415391778,-0.6126510305614783,-1.978678038379531,2.2530206112295663,0.6138538078836586,0.8307925444904446,1.0284346442510746,1.2134162901356893,0.9295362174109965,5.458203488054234,1.8004115387776989
grass,-140.0,-2.443460952792061,-0.5415231534634519,-2.127986441419277,2.213383631294079,0.4591329068941009,0.8682324642158514,1.0604535035119342,1.2373281548412796,0.934882531139611,5.342026133070909,1.8194725871020847
grass,-135.0,-2.356194490192345,-0.7085624509033778,-2.170221765665599,2.3048522569339536,0.6064414768263944,0.7099234557317605,1.106403620420539,1.2768917529547625,0.8364957465961343,5.790077950329326,1.9054110871349894
grass,-130.0,-2.2689280275926285,-1.7549700888271194,-2.379660402441235,2.6285576167744273,2.010453803855218,0.427597091147895,1.048259911020918,0.9164739418463477,0.4356633326488261,8.773641911898,2.5580163705032315
grass,-125.0,-2.181661564992912,-1.3088950850144878,-1.9858947023126126,2.5397189874801818,1.1694275873380353,1.2617822628997348,1.051842227218856,1.2267954738561613,1.2450567166569113,7.003936362145318,2.115954839058718
grass,-120.0,-2.0943951023931957,-1.5631731452626973,-2.197692854409272,2.6529987425509813,1.513859275053305,1.2755084376313508,1.1114004403944004,1.250201358596161,1.381355609878256,7.927724017276256,2.349633235023278
grass,-115.0,-2.007128639793479,-1.683068175605489,-2.00120277732218,2.603794215734514,1.5817615220600294,1.1752615904304935,1.0663394956766705,1.286257473657545,1.369000548385778,7.869826690722212,2.313469491289033
grass,-110.0,-1.9198621771937625,-1.9632001933651577,-2.059459786089794,2.776844522327633,1.8651278022841258,1.2832614467516636,1.1082933701975684,1.3564160180640108,1.4766411072729073,8.66463230406671,2.5291111669628323
grass,-105.0,-1.832595714594046,-1.9005612960836844,-2.099183569332823,2.588531700471999,1.7323638219160609,1.2311335755675668,1.166196374795846,1.335238401536248,1.4726718703771646,8.320640387804566,2.428614230217303
grass,-100.0,-1.7453292519943295,-2.130137772675086,-2.1389781859931114,2.62548794489093,2.071756601607348,1.189347559219384,1.0940858801077593,1.2798001574618265,1.4274986794017637,8.966360505166476,2.5982207664652264
