surface,motion_type,angle_deg,target_angle,I_total,I_total_avg
linoleum,circle,-39,-0.68316632906069,4.274397244546498,4.274397244546498
linoleum,circle,-28,-0.4831672350512914,2.888633754305396,2.888633754305396
linoleum,circle,-16,-0.283160750065939,3.4167623421354762,3.4167623421354762
linoleum,circle,-5,-0.0831607023822232,1.7634902411021816,1.7634902411021816
linoleum,circle,169,2.9416796286874494,1.9885189437428243,1.9885189437428243
linoleum,circle,157,2.741691978769847,2.2835820895522385,2.2835820895522385
linoleum,circle,146,2.5413407405191144,2.095292766934558,2.095292766934558
linoleum,circle,134,2.3416413386636457,2.7715269804822045,2.7715269804822045
linoleum,circle,123,2.141627701120921,2.8082663605051663,2.8082663605051663
linoleum,circle,111,1.9416390975290023,3.623421354764638,3.623421354764638
linoleum,circle,100,1.7416831572824203,4.106773823191734,4.106773823191734
linoleum,circle,88,1.5416215976052965,4.086107921928818,4.086107921928818
linoleum,circle,77,1.3410166819863998,3.9862227324913886,3.9862227324913886
linoleum,circle,65,1.1416737159066876,3.981630309988519,3.981630309988519
linoleum,circle,54,0.9410099108987532,3.7141216991963257,3.7141216991963257
linoleum,circle,42,0.7416738589578352,4.2594718714121695,4.2594718714121695
linoleum,circle,31,0.541656406717845,3.34443168771527,3.34443168771527
linoleum,circle,20,0.3416337092691144,3.1595866819747416,3.1595866819747416
linoleum,circle,8,0.1416727622323713,2.207807118254879,2.207807118254879
linoleum,circle,-3,-0.0583251396841325,1.7657864523536164,1.7657864523536164
linoleum,circle,-15,-0.2587779442495622,1.304247990815155,1.304247990815155
linoleum,circle,-26,-0.4583259503073015,1.1894374282433984,1.1894374282433984
linoleum,circle,-38,-0.6588996330923357,2.1814006888633752,2.1814006888633752
linoleum,circle,-49,-0.8583455959982199,2.4879448909299655,2.4879448909299655
linoleum,circle,-61,-1.0583556572622574,3.1423650975889785,3.1423650975889785
linoleum,circle,-72,-1.2583771626180924,3.7646383467278994,3.7646383467278994
linoleum,circle,-84,-1.4583505074209488,3.5855338691159577,3.5855338691159577
linoleum,circle,-95,-1.6590007225698746,3.625717566016074,3.625717566016074
linoleum,circle,-106,-1.858764974278859,3.5614236509758896,3.5614236509758896
linoleum,circle,-118,-2.0588015000051767,3.912743972445465,3.912743972445465
linoleum,circle,-129,-2.2583609501547137,3.448909299655568,3.448909299655568
linoleum,circle,-141,-2.4583638588613788,3.357060849598163,3.357060849598163
linoleum,circle,-152,-2.65841564337676,2.7267508610792195,2.7267508610792195
linoleum,circle,-164,-2.858408776921681,2.4959816303099887,2.4959816303099887
linoleum,circle,-175,-3.0583411137289325,1.8909299655568312,1.8909299655568312
linoleum,circle,11,0.2000010013580322,1.8151549942594718,1.8415614236509759
linoleum,circle,23,0.4000062942504883,2.7210103329506317,2.670493685419059
linoleum,circle,34,0.6000049114227295,2.068886337543054,2.013777267508611
linoleum,circle,46,0.8000111579895021,2.9299655568312284,2.9437428243398394
linoleum,circle,57,1.00001859664917,2.8909299655568317,3.0419058553386913
linoleum,circle,69,1.2000222206115725,4.049368541905856,3.997703788748565
linoleum,circle,80,1.4000191688537595,4.624569460390356,4.440872560275546
linoleum,circle,92,1.6000490188598633,4.762342135476463,4.616532721010333
linoleum,circle,103,1.8000328540802002,4.529276693455797,4.52296211251435
linoleum,circle,115,2.000076532363892,3.836969001148105,3.6561423650975886
linoleum,circle,126,2.20009708404541,4.092996555683123,4.101607347876005
linoleum,circle,138,2.400145530700684,3.3134328358208958,3.148679678530425
linoleum,circle,149,2.600119113922119,3.101033295063146,3.113662456946039
linoleum,circle,160,2.8000409603118896,2.277841561423651,2.319173363949483
linoleum,circle,172,3.0000104904174805,2.1710677382319172,2.1337543053960966
linoleum,circle,-177,-3.0831649939166472,2.008036739380023,2.092996555683123
linoleum,circle,-165,-2.883171145115988,1.0206659012629162,1.2244546498277842
linoleum,circle,-154,-2.683137718831198,1.0195177956371986,0.9293915040183698
linoleum,circle,-142,-2.4831641356097625,1.9690011481056258,1.9982778415614235
linoleum,circle,-131,-2.2831819693194797,2.8507462686567164,2.8404133180252584
linoleum,circle,-119,-2.0831497351275847,2.754305396096441,2.6969001148105627
linoleum,circle,-108,-1.8831680456744595,3.985074626865672,3.9219288174512057
linoleum,circle,-96,-1.6831856409655972,4.008036739380023,4.03788748564868
linoleum,circle,-85,-1.4831820170031949,4.288174512055109,4.462686567164178
linoleum,circle,-74,-1.2831848303424285,3.885189437428244,3.8300803673938004
linoleum,circle,-62,-1.0831423441516324,3.683122847301952,3.7560275545350175
linoleum,circle,-51,-0.883155171071188,4.293915040183697,4.135476463834673
linoleum,circle,-39,-0.6831889788257046,3.959816303099885,4.117106773823192
linoleum,circle,-28,-0.4831927458392544,3.717566016073479,3.3030998851894378
linoleum,circle,-16,-0.2831605116473599,3.5740528128587834,3.49540757749713
linoleum,circle,-5,-0.083181444798605,1.9862227324913893,1.8748564867967854
linoleum,circle,169,2.9416023810678205,2.010332950631458,1.9994259471871412
linoleum,circle,157,2.741584213572093,2.172215843857635,2.2278989667049367
linoleum,circle,146,2.541562708216258,1.9219288174512055,2.0086107921928815
linoleum,circle,134,2.3416110595041,2.7164179104477606,2.7439724454649825
linoleum,circle,123,2.14160409768159,3.1148105625717566,2.9615384615384617
linoleum,circle,111,1.9416095336251933,3.9196326061997704,3.7715269804822045
linoleum,circle,100,1.7415722926431385,4.371986222732491,4.239380022962113
linoleum,circle,88,1.5415979941659652,4.090700344431688,4.088404133180253
linoleum,circle,77,1.3415741046243392,4.016073478760045,4.001148105625717
linoleum,circle,65,1.1415731032663068,4.512055109070034,4.246842709529276
linoleum,circle,54,0.9415904601388656,3.493685419058553,3.6039035591274393
linoleum,circle,42,0.7416192611032209,3.9058553386911594,4.082663605051664
linoleum,circle,31,0.5416313727670393,3.287026406429392,3.315729047072331
linoleum,circle,20,0.3415748198800764,2.9988518943742823,3.079219288174512
linoleum,circle,8,0.141282232599803,2.0941446613088406,2.1509758897818596
linoleum,circle,-3,-0.0584104935354509,1.785304247990815,1.7755453501722158
linoleum,circle,-15,-0.2583993355459489,1.2135476463834671,1.2588978185993112
linoleum,circle,-26,-0.4583874623007097,1.087256027554535,1.1383467278989667
linoleum,circle,-38,-0.6583786884969988,2.0964408725602754,2.1389207807118256
linoleum,circle,-49,-0.858372537297658,2.3616532721010333,2.4247990815154994
linoleum,circle,-61,-1.058438388509206,3.2158438576349027,3.179104477611941
linoleum,circle,-72,-1.2583874146169938,4.050516647531573,3.9075774971297363
linoleum,circle,-84,-1.4584017674154557,3.3880597014925375,3.4867967853042474
linoleum,circle,-95,-1.6587260643667496,3.704936854190586,3.66532721010333
linoleum,circle,-107,-1.85886820952361,3.4569460390355915,3.4569460390355915
linoleum,circle,-118,-2.0591371933645526,3.9460390355912742,3.9293915040183696
linoleum,circle,-129,-2.2588160912222186,3.606199770378875,3.5275545350172215
linoleum,circle,-141,-2.458845225972584,3.483352468427095,3.4202066590126288
linoleum,circle,-152,-2.658836690587452,2.8185993111366248,2.772675086107922
linoleum,circle,-164,-2.8585022370046893,2.5373134328358207,2.5166475315729047
linoleum,circle,-175,-3.058508006734304,2.118254879448909,2.00459242250287
linoleum,circle,169,2.9415957053476056,1.7359357060849598,1.9115958668197475
linoleum,circle,157,2.7415763457589826,4.73593570608496,3.0639112131649444
linoleum,circle,146,2.541608961420604,2.4856486796785306,2.1676234213547647
linoleum,circle,134,2.341609628992625,2.6762342135476462,2.7213930348258706
linoleum,circle,123,2.1415559371286115,3.205510907003444,3.042862610026789
linoleum,circle,111,1.9415344317727767,4.014925373134329,3.8526597780329124
linoleum,circle,100,1.741586836176463,4.926521239954076,4.468427095292767
linoleum,circle,88,1.541606815653392,4.774971297359357,4.317259854573288
linoleum,circle,77,1.3412148078256332,4.024110218140069,4.008802143130501
linoleum,circle,65,1.1415750106149398,4.106773823191734,4.200153080750096
linoleum,circle,54,0.9415670951181137,4.084959816303099,3.764255644852659
linoleum,circle,42,0.7415901740365707,3.7152698048220434,3.960199004975124
linoleum,circle,31,0.5415650924020491,2.431687715269805,3.0210486031381554
linoleum,circle,20,0.3415874560647687,1.746268656716418,2.6349024110218138
linoleum,circle,8,0.1416136344247541,3.242250287026406,2.5147340221967087
linoleum,circle,-3,-0.0584007183737077,2.2916188289322617,1.947569843092231
linoleum,circle,-15,-0.2587209622091569,0.6349024110218139,1.050899349406812
linoleum,circle,-26,-0.4584268013662614,0.9242250287026406,1.066972828166858
linoleum,circle,-38,-0.6584552208608904,1.6831228473019517,1.9869881362418675
linoleum,circle,-49,-0.858463851613454,2.65556831228473,2.5017221584385765
linoleum,circle,-61,-1.0584646145529069,2.9804822043628016,3.1128970531955606
linoleum,circle,-72,-1.2584305683798112,4.00918484500574,3.9414466130884045
linoleum,circle,-84,-1.458402482671193,4.261768082663605,3.7451205510907
linoleum,circle,-95,-1.6583860794729508,3.918484500574053,3.749712973593571
linoleum,circle,-106,-1.8584490696615492,3.9919632606199764,3.776693455797933
linoleum,circle,-118,-2.058403102559499,2.4856486796785306,3.44814389590509
linoleum,circle,-129,-2.258399335545949,2.7141216991963266,3.256410256410257
linoleum,circle,-141,-2.4583910385793954,3.0952927669345582,3.3119020283199387
linoleum,circle,-152,-2.658402053517751,3.082663605051665,2.8760045924225026
linoleum,circle,-164,-2.8584061543173105,2.9701492537313436,2.6678147722923846
linoleum,circle,-175,-3.0584190766043,2.2479908151549943,2.0857252200535785
linoleum,circle,11,0.2000319957733154,1.9483352468427095,1.8771526980482205
linoleum,circle,23,0.4000072479248047,2.1595866819747416,2.5001913509376195
linoleum,circle,34,0.6000463962554932,2.050516647531573,2.026023727516265
linoleum,circle,46,0.7999677658081056,2.230769230769231,2.706084959816303
linoleum,circle,57,0.999974489212036,2.2089552238805967,2.76425564485266
linoleum,circle,69,1.1999895572662354,3.436280137772675,3.810562571756602
linoleum,circle,80,1.4000325202941897,3.892078071182549,4.257941063911213
linoleum,circle,92,1.5999863147735596,4.669345579793341,4.6341370072713355
linoleum,circle,103,1.7999961376190188,4.123995407577497,4.389973210868733
linoleum,circle,115,1.9999783039093015,5.180252583237658,4.164179104477612
linoleum,circle,126,2.199976682662964,3.7083811710677383,3.970531955606583
linoleum,circle,138,2.399996519088745,4.00459242250287,3.4339839265212397
linoleum,circle,149,2.6000986099243164,3.4569460390355915,3.228090317642556
linoleum,circle,160,2.799997806549072,2.8392652123995408,2.4925373134328357
linoleum,circle,172,3.000093698501587,2.1676234213547647,2.1450440107156523
linoleum,circle,-177,-3.0831175486194056,2.1492537313432836,2.111748947569843
linoleum,circle,-165,-2.8832178751574915,1.3983926521239953,1.282433983926521
linoleum,circle,-154,-2.683202568684713,1.1285878300803673,0.9957902793723689
linoleum,circle,-142,-2.483152691517965,2.135476463834673,2.0440107156525067
linoleum,circle,-131,-2.282721344624655,2.835820895522388,2.8388825105243014
linoleum,circle,-119,-2.083200041447775,3.001148105625718,2.7983161117489477
linoleum,circle,-108,-1.8832109610186976,4.0769230769230775,3.9735935706084966
linoleum,circle,-96,-1.683157030736105,3.57060849598163,3.88212782242633
linoleum,circle,-85,-1.4831581751452847,3.827784156142365,4.251052430156908
linoleum,circle,-74,-1.2831297556506558,3.331802525832376,3.6639877535399923
linoleum,circle,-62,-1.0831521193133755,3.6268656716417906,3.712973593570609
linoleum,circle,-51,-0.8831697146045132,3.436280137772675,3.9024110218140073
linoleum,circle,-39,-0.6831985155688688,3.74052812858783,3.991580558744738
linoleum,circle,-28,-0.4826081434832983,2.7611940298507465,3.1224646000765404
linoleum,circle,-16,-0.2831879297839565,2.3811710677382316,3.1239954075774974
linoleum,circle,-5,-0.0829075018512173,1.1504018369690012,1.6333716035208574
linoleum,figure_eight,135,2.363757650512333,0.6727898966704936,0.6727898966704936
linoleum,figure_eight,137,2.3872229201796795,4.8163030998851895,4.8163030998851895
linoleum,figure_eight,139,2.429071366299714,3.029850746268657,3.029850746268657
linoleum,figure_eight,143,2.4939918555251595,2.801377726750861,2.801377726750861
linoleum,figure_eight,148,2.5897339350758437,2.3513203214695753,2.3513203214695753
linoleum,figure_eight,156,2.727902626637632,2.3673938002296215,2.3673938002296215
linoleum,figure_eight,167,2.9229256747758856,2.7003444316877157,2.7003444316877157
linoleum,figure_eight,-178,-3.0996333906831675,1.8530424799081515,1.8530424799081515
linoleum,figure_eight,-160,-2.7911704107751363,1.296211251435132,1.296211251435132
linoleum,figure_eight,-142,-2.485263315298508,0.9506314580941446,0.9506314580941446
linoleum,figure_eight,-128,-2.2274469820030287,2.417910447761194,2.417910447761194
linoleum,figure_eight,-116,-2.0276281345468488,3.0884041331802528,3.0884041331802528
linoleum,figure_eight,-107,-1.8733633576297453,4.118254879448909,4.118254879448909
linoleum,figure_eight,-100,-1.7492630121828536,4.390355912743972,4.390355912743972
